pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,false,hypo,mero,sibl,entropy,nsynsests_source,nsynsests_target
3,sibl,3,sibl,parsley,rue,True,"['Ġpars', 'ley']","['Ġr', 'ue']",2,2,7.693863e-06,3.621925e-05,6.7028654e-06,0.99994934,0.00085324625,2,5
0,false,0,false,mint,hystricomorpha,True,['Ġmint'],"['Ġhy', 'st', 'ric', 'om', 'or', 'pha']",1,6,0.99998546,4.4826406e-06,5.6765293e-06,4.346506e-06,0.00027688095,8,1
3,sibl,3,sibl,avocado,redbud,True,['Ġavocado'],"['Ġred', 'b', 'ud']",1,3,9.054391e-06,3.419044e-05,7.236801e-06,0.9999496,0.00085526286,3,1
0,false,0,false,mint,nicad,True,['Ġmint'],"['Ġnic', 'ad']",1,2,0.9999856,4.4315107e-06,4.9773716e-06,5.0618323e-06,0.0002763483,8,1
0,false,0,false,entire,falchion,True,['Ġentire'],"['Ġfal', 'ch', 'ion']",1,3,0.9999399,1.0507785e-05,4.613907e-05,3.4630943e-06,0.0009878462,5,1
3,sibl,3,sibl,macaw,cockatoo,True,"['Ġmac', 'aw']","['Ġcock', 'at', 'oo']",2,3,1.0631789e-05,5.553838e-05,6.269311e-06,0.9999275,0.0011735796,1,1
3,sibl,3,sibl,leek,annual,True,"['Ġle', 'ek']",['Ġannual'],2,1,8.65303e-06,3.308054e-05,6.6200782e-06,0.9999516,0.00082152314,2,4
3,sibl,3,sibl,flax,safflower,True,"['Ġfl', 'ax']","['Ġsa', 'ff', 'lower']",2,3,8.502736e-06,3.3759945e-05,6.761571e-06,0.999951,0.00083150604,2,1
3,sibl,3,sibl,osprey,thoroughbred,True,"['Ġo', 'sp', 'rey']","['Ġthorough', 'bred']",3,2,1.749886e-05,4.3866905e-05,5.379621e-06,0.99993324,0.0011020355,1,4
3,sibl,3,sibl,yucca,artemisia,True,"['Ġy', 'u', 'cca']","['Ġart', 'emis', 'ia']",3,3,9.378579e-06,3.3126165e-05,6.740182e-06,0.99995077,0.00083643076,1,1
3,sibl,3,sibl,soapwort,dahlia,True,"['Ġsoap', 'w', 'ort']","['Ġd', 'ahl', 'ia']",3,3,8.294484e-06,3.404376e-05,7.354577e-06,0.9999503,0.0008424241,1,1
0,false,0,false,barge,russell,True,"['Ġb', 'arge']","['Ġr', 'us', 'sell']",2,3,0.9999815,4.7333338e-06,1.01217265e-05,3.6247936e-06,0.00034383853,3,7
3,sibl,3,sibl,asparagus,corn,True,"['Ġas', 'par', 'agus']",['Ġcorn'],3,1,1.1253208e-05,3.2559474e-05,7.6086176e-06,0.9999486,0.00087384385,2,9
0,false,0,false,refinery,yardie,True,['Ġrefinery'],"['Ġyard', 'ie']",1,2,0.99997354,3.2189862e-06,3.6154502e-06,1.9678573e-05,0.0004700752,1,1
1,hypo,1,hypo,wheatgrass,grass,True,"['Ġwheat', 'grass']",['Ġgrass'],2,1,7.6252436e-06,0.99995315,2.0751848e-05,1.846646e-05,0.00081042695,1,11
0,false,0,false,marten,defense,True,"['Ġmart', 'en']",['Ġdefense'],2,1,0.9999813,7.0526985e-06,7.444731e-06,4.2802244e-06,0.00035085322,1,12
0,false,0,false,crawfish,mantelet,True,"['Ġcraw', 'fish']","['Ġm', 'ante', 'let']",2,3,0.9999807,5.0702097e-06,1.0681503e-05,3.5004953e-06,0.00035680048,4,2
3,sibl,3,sibl,kookaburra,whippet,True,"['Ġk', 'ook', 'ab', 'ur', 'ra']","['Ġwh', 'ipp', 'et']",5,3,1.2149013e-05,4.748205e-05,5.7317648e-06,0.9999347,0.0010743765,1,1
0,false,0,false,mint,coke,True,['Ġmint'],"['Ġco', 'ke']",1,2,0.9999856,3.9462707e-06,4.515529e-06,5.905552e-06,0.00027432083,8,4
0,false,0,false,bullock,enamel,True,"['Ġbull', 'ock']","['Ġen', 'amel']",2,2,0.99998426,5.195184e-06,6.3347998e-06,4.2000966e-06,0.00029822343,2,5
0,false,0,false,serow,pyelogram,True,"['Ġser', 'ow']","['Ġpy', 'el', 'ogram']",2,3,0.999985,5.0381923e-06,5.4683846e-06,4.5135457e-06,0.00028607337,1,1
1,hypo,1,hypo,barge,vessel,True,"['Ġb', 'arge']",['Ġvessel'],2,1,9.058317e-06,0.9999529,2.150707e-05,1.6530745e-05,0.0008157253,3,3
3,sibl,3,sibl,senna,buckthorn,True,"['Ġs', 'enna']","['Ġbuck', 'th', 'orn']",2,3,7.766284e-06,3.4819685e-05,7.253575e-06,0.9999502,0.0008432243,1,3
0,false,0,false,refinery,esophagoscope,True,['Ġrefinery'],"['Ġes', 'oph', 'ag', 'oscope']",1,4,0.99998343,3.0795545e-06,4.5137713e-06,8.941709e-06,0.00031040216,1,1
0,false,0,false,parrot,knife,True,"['Ġpar', 'rot']",['Ġknife'],2,1,0.9999809,5.590615e-06,9.151733e-06,4.239961e-06,0.00035382932,3,4
0,false,0,false,dotterel,jerkin,True,"['Ġd', 'ott', 'ere', 'l']","['Ġjer', 'kin']",4,2,0.9999819,4.862665e-06,9.490802e-06,3.6659599e-06,0.00033643233,1,1
3,sibl,3,sibl,chick,trout,True,['Ġchick'],['Ġtrout'],1,1,1.050417e-05,6.0969545e-05,7.4894365e-06,0.9999211,0.0012687617,2,2
0,false,0,false,mint,crutch,True,['Ġmint'],"['Ġcr', 'utch']",1,2,0.99998546,4.0546743e-06,4.5288803e-06,5.924511e-06,0.00027679995,8,2
3,sibl,3,sibl,rhubarb,dandelion,True,"['Ġrh', 'ub', 'arb']","['Ġd', 'andel', 'ion']",3,3,7.936597e-06,3.8651586e-05,6.5576633e-06,0.99994683,0.0008906828,2,1
2,mero,2,mero,fish,fishbone,True,['Ġfish'],"['Ġfish', 'bone']",1,2,0.00036798773,3.1297277e-05,0.9995702,3.0497291e-05,0.005743783,6,1
3,sibl,3,sibl,guppy,songbird,True,"['Ġgu', 'ppy']","['Ġsong', 'bird']",2,2,1.1180174e-05,5.8492504e-05,6.0279967e-06,0.9999243,0.0012201149,1,1
3,sibl,3,sibl,henbane,flax,True,"['Ġhen', 'bane']","['Ġfl', 'ax']",2,2,8.5828315e-06,3.685255e-05,6.0538086e-06,0.9999485,0.0008664394,1,2
0,false,0,false,refinery,photostat,True,['Ġrefinery'],"['Ġphot', 'ost', 'at']",1,3,0.99998033,3.0669305e-06,3.8695202e-06,1.2699362e-05,0.0003605864,1,3
3,sibl,3,sibl,wheat,flax,True,['Ġwheat'],"['Ġfl', 'ax']",1,2,1.04980145e-05,3.8045793e-05,8.045685e-06,0.9999434,0.0009499803,3,2
3,sibl,3,sibl,caladium,hyacinth,True,"['Ġcal', 'adium']","['Ġhy', 'ac', 'inth']",2,3,8.511556e-06,3.5712106e-05,6.4136198e-06,0.99994934,0.0008546644,1,2
1,hypo,1,hypo,blackberry,plant,True,"['Ġblack', 'berry']",['Ġplant'],2,1,7.777442e-06,0.9999534,2.1053555e-05,1.7728247e-05,0.00080596714,3,10
0,false,0,false,mint,bubblejet,True,['Ġmint'],"['Ġbubble', 'jet']",1,2,0.99998534,4.1511603e-06,4.3067294e-06,6.203098e-06,0.00027944052,8,1
3,sibl,3,sibl,parsley,saxifrage,True,"['Ġpars', 'ley']","['Ġsax', 'if', 'rage']",2,3,7.403858e-06,4.001473e-05,6.387189e-06,0.99994624,0.0008985475,2,1
0,false,0,false,mint,waistcloth,True,['Ġmint'],"['Ġwaist', 'cloth']",1,2,0.99998534,4.5908027e-06,4.4864846e-06,5.469503e-06,0.0002777042,8,1
0,false,0,false,refinery,dravidian,True,['Ġrefinery'],"['Ġd', 'rav', 'idian']",1,3,0.99997175,3.6957322e-06,3.621082e-06,2.0945477e-05,0.0004984586,1,2
0,false,0,false,refinery,revetement,True,['Ġrefinery'],"['Ġreve', 't', 'ement']",1,3,0.99998057,3.1687462e-06,3.8886396e-06,1.2337828e-05,0.00035690775,1,1
