pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,antonym,hasa,hasproperty,isa,madeof,partof,synonym,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
1,hasa,Ġcontains,1,hasa,Ġcontains,lobby,wall,True,['Ġlobby'],['Ġwall'],1,1,0.03516035,0.8593151,0.0038293349,0.022489881,0.024382288,0.05162439,0.0031986504,0.8895438,4,9,Ġcontains,Ġpart,Ġcontrary,Ġmaterial,Ġsubclass,Ġattribute,Ġequivalent,Ġcontain,Ġcontaining,Ġhas,Ġincludes,Ġwith,Ġparts,Ġinterior
3,isa,Ġsubclass,3,isa,Ġsubclass,call,order,True,['Ġcall'],['Ġorder'],1,1,0.06668733,0.004172484,0.000988805,0.8122259,0.00066446536,0.00795052,0.10731053,0.9550906,41,24,Ġsubclass,Ġequivalent,Ġcontrary,Ġpart,Ġcontains,Ġattribute,Ġmaterial,Ġcontain,Ġclass,Ġor,Ġsuperior,Ġsimilar,Ġcomparable,Ġand
3,isa,Ġsubclass,3,isa,Ġsubclass,keep,store,True,['Ġkeep'],['Ġstore'],1,1,0.007851679,0.00049457216,0.0011013659,0.5874857,0.00028086826,0.003877163,0.3989087,1.0852538,25,6,Ġsubclass,Ġequivalent,Ġcontrary,Ġpart,Ġattribute,Ġcontains,Ġmaterial,Ġcomparable,Ġsimilar,Ġclass,Ġsuperior,Ġanalogous,Ġcorresponding,Ġcontain
6,synonym,Ġequivalent,6,synonym,Ġequivalent,see,view,True,['Ġsee'],['Ġview'],1,1,0.0073116007,0.00118984,0.0012768675,0.41580585,0.0004676379,0.0036675106,0.57028073,1.0990521,25,13,Ġequivalent,Ġsubclass,Ġcontrary,Ġpart,Ġattribute,Ġcontains,Ġmaterial,Ġcomparable,Ġsimilar,Ġsuperior,Ġclass,Ġanalogous,Ġcorresponding,Ġcounterpart
3,isa,Ġsubclass,0,antonym,Ġcontrary,brake,pedal,False,['Ġbrake'],['Ġpedal'],1,1,0.04428012,0.023344578,0.010791124,0.4934552,0.010268485,0.024880242,0.3929803,1.6289693,7,5,Ġsubclass,Ġequivalent,Ġcontrary,Ġpart,Ġcontains,Ġattribute,Ġmaterial,Ġcontain,Ġclass,Ġtype,Ġcomponent,Ġcontaining,Ġuse,Ġelement
3,isa,Ġsubclass,3,isa,Ġsubclass,lake,place,True,['Ġlake'],['Ġplace'],1,1,6.127487e-05,3.0249485e-05,8.8525085e-05,0.99864405,0.00016480219,0.00013085705,0.0008802305,0.017151657,3,32,Ġsubclass,Ġequivalent,Ġmaterial,Ġpart,Ġattribute,Ġcontrary,Ġcontains,Ġclass,Ġtype,Ġsimilar,Ġrelated,Ġother,Ġspecial,Ġname
0,antonym,Ġcontrary,0,antonym,Ġcontrary,boy,female,True,['Ġboy'],['Ġfemale'],1,1,0.9944265,0.00014493096,0.0044158683,0.00046994997,6.5929846e-05,0.00018246431,0.00029432736,0.05624212,4,5,Ġcontrary,Ġattribute,Ġsubclass,Ġequivalent,Ġpart,Ġcontains,Ġmaterial,Ġcontradictory,Ġopposite,ĠContrary,Ġattributes,Ġsuperior,Ġand,Ġis
0,antonym,Ġcontrary,0,antonym,Ġcontrary,hill,crater,True,['Ġhill'],['Ġcrater'],1,1,0.98866963,0.0011395138,0.00039852504,0.0044147903,0.00015231455,0.0015712923,0.0036540192,0.11258439,6,3,Ġcontrary,Ġsubclass,Ġequivalent,Ġpart,Ġcontains,Ġattribute,Ġmaterial,Ġopposite,Ġand,ĠContrary,Ġsuperior,Ġor,Ġnotwithstanding,Ġcounterpart
3,isa,Ġsubclass,3,isa,Ġsubclass,box,hit,True,['Ġbox'],['Ġhit'],1,1,0.049375508,0.008495077,0.02434188,0.74519503,0.00089753914,0.007204894,0.1644901,1.2080886,13,24,Ġsubclass,Ġequivalent,Ġcontrary,Ġattribute,Ġcontains,Ġpart,Ġmaterial,Ġcontain,Ġclass,Ġattributes,Ġversion,Ġtype,Ġsuperior,Ġcan
0,antonym,Ġcontrary,0,antonym,Ġcontrary,slip,balance,True,['Ġslip'],['Ġbalance'],1,1,0.94033855,0.00026762777,0.0006623699,0.042560473,0.00022255698,0.0032320037,0.0127163865,0.39697585,26,16,Ġcontrary,Ġsubclass,Ġequivalent,Ġpart,Ġattribute,Ġcontains,Ġmaterial,ĠContrary,Ġcontradictory,Ġopposite,Ġcontrast,Ġsuperior,Ġalternative,Ġcounter
