pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ant,hyper,part_of,random,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10
3,random,random,1,hyper,minor,coach,teach,False,['coach'],['teach'],1,1,0.0060482454,0.0032402712,1.6486374e-05,0.9901321,0.00056286907,0.091871075,7,3,random,contrary,minor,synonym,author,part,authors,others,teacher,students
4,syn,synonym,1,hyper,minor,coach,teacher,False,['coach'],['teacher'],1,1,0.006979321,0.0015320907,3.775578e-05,1.8756042e-06,0.99144894,0.077190354,7,2,synonym,contrary,minor,part,parent,substitute,assistant,substitutes,teacher,junior
3,random,random,3,random,random,coach,coat,True,['coach'],['coat'],1,1,9.35185e-08,8.2210384e-08,3.145672e-09,0.99999976,3.9712813e-08,5.5277687e-06,7,6,random,contrary,minor,white,grey,synonym,black,designer,party,red
3,random,random,3,random,random,coach,dog,True,['coach'],['dog'],1,1,0.33206445,0.0008003486,0.0006809417,0.65935445,0.007099854,0.9904013,7,8,random,contrary,synonym,minor,part,stray,small,the,individual,occasional
3,random,random,3,random,random,coach,performance,True,['coach'],['performance'],1,1,1.2680279e-09,0.00034070955,7.269856e-06,0.9996517,3.0376782e-07,0.004557759,7,5,random,minor,individual,part,selected,player,select,final,personal,coaches
3,random,random,3,random,random,coach,pit,True,['coach'],['pit'],1,1,2.1249207e-07,1.6215564e-08,8.377345e-09,0.99999964,1.1409362e-07,8.501836e-06,7,14,random,contrary,synonym,randomly,minor,blank,part,wild,the,white
3,random,random,3,random,random,coach,rain,True,['coach'],['rain'],1,1,8.5609764e-07,1.3672588e-08,4.859045e-08,0.99999917,3.800481e-08,2.1105592e-05,7,4,random,contrary,grey,randomly,white,chance,part,synonym,wild,london
3,random,random,3,random,random,coach,rear,True,['coach'],['rear'],1,1,0.025157226,0.000491971,0.00014362946,0.719042,0.25516513,0.985857,7,11,random,synonym,contrary,minor,part,rear,blank,individual,wrong,whole
1,hyper,minor,3,random,random,coach,ride,False,['coach'],['ride'],1,1,1.1883079e-07,0.99676836,8.7693184e-07,0.0032096466,2.1054775e-05,0.0315889,7,16,minor,random,synonym,part,small,contrary,name,major,minors,player
3,random,random,3,random,random,coach,side,True,['coach'],['side'],1,1,3.4922934e-06,7.6212314e-06,0.00015250534,0.999835,1.3691351e-06,0.0023911444,7,14,random,part,minor,contrary,player,synonym,author,stage,',whole
1,hyper,minor,1,hyper,minor,dance,move,True,['dance'],['move'],1,1,7.948377e-09,0.99994195,1.7583741e-07,6.837171e-11,5.7832578e-05,0.0009019821,7,21,minor,synonym,major,part,dance,key,count,title,minors,name
3,random,random,3,random,random,dance,bring,True,['dance'],['bring'],1,1,9.087134e-08,3.3348344e-06,8.705833e-09,0.9999964,9.854625e-08,7.048565e-05,7,11,random,minor,synonym,contrary,randomly,part,select,dance,night,chance
2,part_of,part,3,random,random,dance,human,False,['dance'],['human'],1,1,5.8054934e-06,0.008527491,0.9897376,0.0017275615,1.5390392e-06,0.089329034,7,4,part,minor,random,for,by,all,-,non,with,any
3,random,random,3,random,random,dance,idea,True,['dance'],['idea'],1,1,8.407168e-09,3.6056013e-06,3.3266838e-07,0.99999607,1.8066462e-08,7.871854e-05,7,5,random,minor,part,synonym,new,contrary,an,dance,randomly,wild
3,random,random,3,random,random,dance,idle,True,['dance'],['idle'],1,1,0.0051690345,2.0742336e-06,4.7235794e-08,0.99482226,6.6756434e-06,0.046869185,7,10,random,contrary,synonym,minor,idle,part,casual,slow,loud,quiet
3,random,random,3,random,random,dance,lens,True,['dance'],['lens'],1,1,2.2438751e-08,2.5535436e-09,4.951047e-09,1.0,4.227761e-09,8.972495e-07,7,5,random,the,contrary,dark,red,open,randomly,black,grey,blue
3,random,random,3,random,random,dance,mark,True,['dance'],['mark'],1,1,4.28995e-07,0.00028962592,1.8240982e-07,0.9996861,2.3560404e-05,0.0042320704,7,30,random,minor,synonym,contrary,part,dance,randomly,black,select,blank
3,random,random,3,random,random,dance,transport,True,['dance'],['transport'],1,1,8.312774e-09,2.788298e-10,1.11629435e-10,1.0,1.3930566e-09,2.766547e-07,7,11,random,contrary,synonym,randomly,minor,part,charity,chance,voluntary,people
3,random,random,3,random,random,dance,unknown,True,['dance'],['unknown'],1,1,1.25552715e-08,5.363807e-07,1.1439513e-08,0.9999995,1.3541272e-08,1.28461415e-05,7,8,random,minor,unknown,synonym,contrary,part,mysterious,music,night,artist
4,syn,synonym,0,ant,contrary,copy,original,False,['copy'],['original'],1,1,0.37158394,0.011445917,0.00012240717,5.0986255e-08,0.6168477,1.0360694,8,6,synonym,contrary,minor,part,mis,supplement,subspecies,not,counter,mistake
3,random,random,3,random,random,copy,busy,True,['copy'],['busy'],1,1,2.1839937e-06,8.135562e-07,2.499478e-08,0.9999654,3.1589392e-05,0.0005802999,8,6,random,synonym,contrary,minor,author,part,randomly,editor,mistake,pseudonym
3,random,random,3,random,random,copy,cattle,True,['copy'],['cattle'],1,1,4.3616484e-09,2.1840367e-09,1.7714866e-08,1.0,3.4974192e-08,1.5064157e-06,8,1,random,wild,synonym,part,stray,randomly,contrary,strange,select,minor
3,random,random,3,random,random,copy,generous,True,['copy'],['generous'],1,1,7.098931e-07,3.203526e-08,9.206765e-09,0.99999917,7.4103454e-08,1.8502598e-05,8,3,random,contrary,synonym,author,minor,the,randomly,part,wild,perfect
3,random,random,3,random,random,copy,hand,True,['copy'],['hand'],1,1,9.274917e-07,0.000114468356,2.3382196e-05,0.9998611,1.2802235e-07,0.0020802885,8,16,random,minor,part,by,from,contrary,right,author,free,selected
3,random,random,3,random,random,copy,join,True,['copy'],['join'],1,1,0.12804206,0.09366274,2.0035017e-05,0.7135614,0.064713724,1.3030162,8,7,random,contrary,minor,synonym,author,or,part,others,/,please
