pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,antonym,hasa,hasproperty,isa,madeof,partof,synonym,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
1,hasa,Ġcontains,1,hasa,Ġcontains,lobby,wall,True,['Ġlobby'],['Ġwall'],1,1,0.1536962,0.80975795,0.010557598,0.0064817397,0.011221048,0.004950739,0.0033347323,0.9162575,4,9,Ġcontains,Ġcontrary,Ġmaterial,Ġattribute,Ġsubclass,Ġpart,Ġequivalent,Ġconsists,Ġcontain,Ġhas,Ġlacks,Ġincludes,Ġcontained,Ġpossesses
3,isa,Ġsubclass,3,isa,Ġsubclass,call,order,True,['Ġcall'],['Ġorder'],1,1,0.17703125,0.0031253074,0.006551784,0.6098955,0.0011242944,0.02538637,0.17688546,1.5384372,41,24,Ġsubclass,Ġcontrary,Ġequivalent,Ġpart,Ġattribute,Ġcontains,Ġmaterial,Ġopposite,Ġsubstitute,Ġform,Ġcomponent,Ġkind,Ġis,Ġsuperior
0,antonym,Ġcontrary,3,isa,Ġsubclass,keep,store,False,['Ġkeep'],['Ġstore'],1,1,0.37181327,0.0005137601,0.00076926267,0.2721531,0.00035043413,0.0037715626,0.35062855,1.6197797,25,6,Ġcontrary,Ġequivalent,Ġsubclass,Ġpart,Ġopposite,Ġattribute,Ġcontains,Ġmaterial,Ġsubstitute,Ġsuperior,Ġalternative,Ġreverse,Ġcounter,Ġsimilar
6,synonym,Ġequivalent,6,synonym,Ġequivalent,see,view,True,['Ġsee'],['Ġview'],1,1,0.014374929,0.0013219253,0.0025729383,0.27014795,0.00084202684,0.006433423,0.7043068,1.0444634,25,13,Ġequivalent,Ġsubclass,Ġcontrary,Ġpart,Ġattribute,Ġcontains,Ġmaterial,Ġsubstitute,Ġsubset,Ġequivalents,Ġopposite,Ġsimilar,Ġcomponent,Ġalternative
6,synonym,Ġequivalent,0,antonym,Ġcontrary,brake,pedal,False,['Ġbrake'],['Ġpedal'],1,1,0.07722074,0.011555589,0.002963351,0.25769967,0.002875552,0.07152193,0.5761631,1.6434524,7,5,Ġequivalent,Ġsubclass,Ġcontrary,Ġpart,Ġcontains,Ġattribute,Ġmaterial,Ġsubstitute,Ġopposite,Ġsimilar,Ġconsists,Ġcomponent,Ġcontain,Ġside
3,isa,Ġsubclass,3,isa,Ġsubclass,lake,place,True,['Ġlake'],['Ġplace'],1,1,0.00033917636,0.001010454,0.0048596663,0.9914683,0.00045546683,0.00025569653,0.0016112828,0.086622134,3,32,Ġsubclass,Ġattribute,Ġequivalent,Ġcontains,Ġmaterial,Ġcontrary,Ġpart,Ġclass,Ġkind,Ġtype,Ġis,Ġcategory,Ġsort,Ġattributes
0,antonym,Ġcontrary,0,antonym,Ġcontrary,boy,female,True,['Ġboy'],['Ġfemale'],1,1,0.99435776,0.00077333156,0.0033577709,0.00035418567,5.3882548e-05,0.00028617773,0.00081689446,0.06027779,4,5,Ġcontrary,Ġattribute,Ġequivalent,Ġcontains,Ġsubclass,Ġpart,Ġopposite,Ġmaterial,Ġattributes,Ġcontradicts,Ġsubject,Ġsuperior,Ġcontradict,Ġcontradictory
0,antonym,Ġcontrary,0,antonym,Ġcontrary,hill,crater,True,['Ġhill'],['Ġcrater'],1,1,0.77585566,0.1854069,0.0063922047,0.0060186866,0.001851265,0.007965864,0.016509494,0.99591815,6,3,Ġcontrary,Ġcontains,Ġequivalent,Ġpart,Ġattribute,Ġsubclass,Ġmaterial,Ġopposite,Ġcontain,Ġcontained,Ġsubject,Ġattributes,Ġcontaining,Ġconsists
3,isa,Ġsubclass,3,isa,Ġsubclass,box,hit,True,['Ġbox'],['Ġhit'],1,1,0.15242523,0.046946175,0.06796184,0.60494465,0.0017513325,0.0054193176,0.12055137,1.7479044,13,24,Ġsubclass,Ġcontrary,Ġequivalent,Ġattribute,Ġcontains,Ġpart,Ġmaterial,Ġsubstitute,Ġcontain,Ġopposite,Ġattributes,Ġclass,Ġconsists,Ġform
0,antonym,Ġcontrary,0,antonym,Ġcontrary,slip,balance,True,['Ġslip'],['Ġbalance'],1,1,0.7646526,0.000678405,0.004371976,0.1660574,0.00054298184,0.02603246,0.037664056,1.0886394,26,16,Ġcontrary,Ġsubclass,Ġequivalent,Ġpart,Ġattribute,Ġcontains,Ġmaterial,Ġopposite,Ġsubstitute,Ġcounter,Ġvariant,Ġalternative,Ġside,Ġsubject
3,isa,Ġsubclass,5,partof,Ġpart,rapid,river,False,['Ġrapid'],['Ġriver'],1,1,0.029101774,0.001081293,0.006572609,0.46958077,0.0026575653,0.06886331,0.42214274,1.5326903,3,1,Ġsubclass,Ġequivalent,Ġpart,Ġcontrary,Ġattribute,Ġmaterial,Ġcontains,Ġvariant,Ġclass,Ġkind,Ġform,Ġtype,Ġversion,Ġcategory
3,isa,Ġsubclass,3,isa,Ġsubclass,level,tool,True,['Ġlevel'],['Ġtool'],1,1,0.010681722,0.00076997414,0.002201993,0.84858507,0.0012738168,0.014027998,0.122459374,0.76796126,19,8,Ġsubclass,Ġequivalent,Ġpart,Ġcontrary,Ġattribute,Ġmaterial,Ġcontains,Ġclass,Ġkind,Ġtype,Ġcategory,Ġsubset,Ġcomponent,Ġlevel
6,synonym,Ġequivalent,6,synonym,Ġequivalent,rest,relax,True,['Ġrest'],['Ġrelax'],1,1,0.023422403,0.0004264765,0.015107749,0.15812075,0.0005209562,0.0056305993,0.7967711,0.95266175,18,8,Ġequivalent,Ġsubclass,Ġcontrary,Ġattribute,Ġpart,Ġmaterial,Ġcontains,Ġopposite,Ġsubstitute,Ġvariant,Ġalternative,Ġsubset,Ġequivalents,Ġkind
2,hasproperty,Ġattribute,2,hasproperty,Ġattribute,copulate,fun,True,"['Ġcop', 'ulate']",['Ġfun'],2,1,0.0008124891,0.0015455845,0.95883965,0.03527796,0.0002945802,0.00038767248,0.00284206,0.28302363,1,4,Ġattribute,Ġsubclass,Ġequivalent,Ġcontains,Ġcontrary,Ġpart,Ġmaterial,Ġattributes,Ġelement,Ġkind,Ġis,Ġclass,Ġcontain,Ġtype
3,isa,Ġsubclass,3,isa,Ġsubclass,conflict,state,True,['Ġconflict'],['Ġstate'],1,1,0.030009521,0.0011662806,0.005811001,0.61707544,0.002486106,0.31019035,0.03326132,1.3447695,9,11,Ġsubclass,Ġpart,Ġequivalent,Ġcontrary,Ġattribute,Ġmaterial,Ġcontains,Ġcomponent,Ġkind,Ġclass,Ġproperty,Ġsubset,Ġaspect,Ġform
2,hasproperty,Ġattribute,2,hasproperty,Ġattribute,dice,red,True,['Ġdice'],['Ġred'],1,1,0.0010197206,0.0003361476,0.99804294,0.00023391408,8.0964455e-05,8.295161e-05,0.00020333643,0.024373053,3,7,Ġattribute,Ġcontrary,Ġcontains,Ġattributes,Ġsubclass,Ġequivalent,Ġpart,Ġmaterial,Ġcolor,Ġtrait,Ġcharacteristic,Ġcolour,Ġcontain,Ġelement
0,antonym,Ġcontrary,5,partof,Ġpart,law,theory,False,['Ġlaw'],['Ġtheory'],1,1,0.7615009,0.0047586425,0.0020668206,0.18500872,0.0020453925,0.021031147,0.02358834,1.0678097,7,3,Ġcontrary,Ġsubclass,Ġequivalent,Ġpart,Ġcontains,Ġattribute,Ġmaterial,Ġopposite,Ġsubstitute,Ġcomponent,Ġsuperior,Ġsubject,Ġcounter,Ġseparate
