pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,coord,hyper,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6
2,random,random,2,random,random,van,co-ordinate,True,['van'],"['co', '-', 'or', '##dina', '##te']",1,5,8.876758e-06,0.01685666,0.9831344,0.12356926,5,5,random,minor,coordinated,major,independent,prime
1,hyper,minor,1,hyper,minor,phone,good,True,['phone'],['good'],1,1,0.00037002304,0.78967917,0.20995076,0.74601483,4,27,minor,random,coordinated,major,good,prime
1,hyper,minor,1,hyper,minor,orbital,circular,True,['orbital'],['circular'],1,1,0.000106838575,0.97660613,0.023287095,0.16107872,2,3,minor,random,coordinated,opposite,major,zero
0,coord,coordinated,1,hyper,minor,trumpet,horn,False,['trumpet'],['horn'],1,1,0.99913245,0.00083642284,3.1109168e-05,0.010267989,4,12,coordinated,minor,coordination,random,coordinate,related
0,coord,coordinated,0,coord,coordinated,dishwasher,telephone,True,"['dish', '##wash', '##er']",['telephone'],3,1,0.9998412,0.000102958824,5.582154e-05,0.002381511,2,3,coordinated,minor,random,coordinate,coordination,coordinating
1,hyper,minor,1,hyper,minor,evidence,argue,True,['evidence'],['argue'],1,1,0.00015545859,0.87428045,0.12556407,0.54730684,6,3,minor,random,coordinated,major,independent,opposite
2,random,random,2,random,random,coconut,accumulate,True,['coconut'],['accumulate'],1,1,4.4787207e-06,0.019618252,0.98037726,0.13937767,3,2,random,minor,coordinated,normal,regular,free
2,random,random,2,random,random,coupling,fruit,True,['coupling'],['fruit'],1,1,0.00021163834,0.00518039,0.9946079,0.049674664,7,5,random,minor,coordinated,state,entropy,randomly
0,coord,coordinated,0,coord,coordinated,hatchet,spear,True,"['hatch', '##et']",['spear'],2,1,0.99982387,0.00013944894,3.6741247e-05,0.0025814215,2,4,coordinated,minor,random,coordination,coordinate,coordinating
1,hyper,minor,2,random,random,hospital,place,False,['hospital'],['place'],1,1,0.0022087581,0.97516817,0.022623057,0.17852215,2,32,minor,random,coordinated,major,small,separate
1,hyper,minor,1,hyper,minor,hate,dislike,True,['hate'],['dislike'],1,1,0.00032730465,0.99472576,0.004946913,0.049267918,2,3,minor,random,coordinated,major,opposite,lesser
1,hyper,minor,1,hyper,minor,crystal,rock,True,['crystal'],['rock'],1,1,0.0012393759,0.9922921,0.006468499,0.07008601,6,9,minor,random,coordinated,major,relative,small
1,hyper,minor,1,hyper,minor,normative,appropriate,True,"['norma', '##tive']",['appropriate'],2,1,2.403383e-05,0.8911812,0.10879487,0.49666968,2,3,minor,random,major,coordinated,or,degree
1,hyper,minor,2,random,random,dress,uniform,False,['dress'],['uniform'],1,1,0.011219226,0.9836642,0.005116535,0.13499083,21,6,minor,coordinated,random,major,separate,independent
2,random,random,2,random,random,pine,hint,True,['pine'],['hint'],1,1,1.4863031e-06,0.04769065,0.9523079,0.2765356,3,6,random,minor,major,regular,small,unknown
