pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12
2,event,Ġevent,2,event,Ġevent,turtle,live,True,['Ġturtle'],['Ġlive'],1,1,1.1498974e-05,2.8208902e-07,0.9999124,1.7333515e-07,2.0309297e-05,5.5503497e-05,0.0014265084,4,19,Ġevent,Ġrandom,Ġpart,Ġattribute,Ġevents,Ġcoordinated,ĠEvent,Ġspot,Ġpoint,Ġsite,Ġplace,Ġsubclass
5,random,Ġrandom,5,random,Ġrandom,ant,experience,True,['Ġant'],['Ġexperience'],1,1,3.792022e-06,6.94965e-08,1.5970178e-06,1.8846903e-08,6.1514413e-07,0.9999938,0.00012264075,1,8,Ġrandom,Ġattribute,Ġevent,Ġpart,Ġrandomly,Ġcoordinated,ĠRandom,Ġanonymous,Ġunknown,Ġsurprise,Ġcoincidence,Ġrandomized
2,event,Ġevent,5,random,Ġrandom,fighter,start,False,['Ġfighter'],['Ġstart'],1,1,0.00032138318,4.5263673e-06,0.99547535,3.7094233e-06,0.001366816,0.0028282572,0.047338188,3,22,Ġevent,Ġrandom,Ġpart,Ġattribute,Ġcoordinated,Ġsubclass,Ġpoint,Ġevents,Ġstart,Ġthe,Ġturn,Ġfunction
5,random,Ġrandom,5,random,Ġrandom,chisel,temperature,True,"['Ġch', 'isel']",['Ġtemperature'],2,1,3.393234e-06,5.2810616e-08,2.8865093e-06,3.4592983e-08,1.3770391e-06,0.9999924,0.00015489342,4,2,Ġrandom,Ġattribute,Ġevent,Ġpart,Ġrandomly,ĠRandom,Ġcoordinated,Ġsubclass,Ġthe,Ġunknown,Ġarbitrary,Ġvariable
3,hyper,Ġsubclass,3,hyper,Ġsubclass,knife,artifact,True,['Ġknife'],['Ġartifact'],1,1,1.3912724e-07,1.6887975e-07,9.227515e-08,0.99999917,1.2179042e-07,3.1887873e-07,2.0007563e-05,4,1,Ġsubclass,Ġrandom,Ġcoordinated,Ġattribute,Ġpart,Ġevent,Ġclass,Ġsubset,Ġtype,Ġkind,Ġarchetype,Ġthe
0,attri,Ġattribute,0,attri,Ġattribute,missile,short,True,['Ġmissile'],['Ġshort'],1,1,0.9978294,1.0513212e-05,0.00022861066,6.633158e-05,0.000544608,0.0013204858,0.025522586,2,23,Ġattribute,Ġrandom,Ġpart,Ġevent,Ġsubclass,Ġcoordinated,Ġgood,Ġelement,Ġthe,Ġshort,Ġfeature,Ġpoint
4,mero,Ġpart,4,mero,Ġpart,cathedral,transept,True,['Ġcathedral'],"['Ġtr', 'anse', 'pt']",1,3,5.0124356e-07,7.0353633e-07,1.3308062e-06,2.8041703e-07,0.999476,0.0005212335,0.0064971605,3,1,Ġpart,Ġrandom,Ġevent,Ġcoordinated,Ġsection,Ġattribute,Ġend,Ġportion,Ġsubclass,Ġinterior,Ġof,Ġwhole
0,attri,Ġattribute,0,attri,Ġattribute,lemon,sour,True,['Ġlemon'],['Ġsour'],1,1,0.99992025,8.1628303e-07,7.772854e-06,1.9845943e-06,2.6180023e-05,4.298184e-05,0.0013229796,5,11,Ġattribute,Ġrandom,Ġpart,Ġevent,Ġsubclass,Ġcoordinated,Ġelement,Ġfeature,Ġattributes,Ġgood,Ġvariable,Ġname
5,random,Ġrandom,5,random,Ġrandom,robin,permanence,True,"['Ġrob', 'in']","['Ġperman', 'ence']",2,2,3.4182633e-06,5.944037e-08,1.441334e-06,2.7433922e-08,6.5778215e-07,0.9999944,0.00011365899,2,1,Ġrandom,Ġattribute,Ġevent,Ġpart,Ġrandomly,ĠRandom,Ġcoordinated,Ġsubclass,Ġanonymous,Ġprobability,Ġunknown,Ġcoincidence
4,mero,Ġpart,4,mero,Ġpart,cathedral,stair,True,['Ġcathedral'],['Ġstair'],1,1,2.9877199e-06,9.202685e-06,2.380257e-05,1.7532036e-06,0.9997451,0.00021715862,0.0036180464,3,1,Ġpart,Ġrandom,Ġevent,Ġcoordinated,Ġattribute,Ġsection,Ġsubclass,Ġof,Ġend,Ġup,Ġall,Ġwhole
4,mero,Ġpart,4,mero,Ġpart,goose,plumage,True,['Ġgoose'],"['Ġplum', 'age']",1,2,1.2160486e-06,8.7447766e-08,1.940417e-07,1.490821e-06,0.99977475,0.00022213104,0.0030796432,6,1,Ġpart,Ġrandom,Ġsubclass,Ġattribute,Ġsection,Ġportion,Ġpiece,Ġelement,Ġparts,Ġevent,Ġcomponent,Ġrest
4,mero,Ġpart,4,mero,Ġpart,battleship,deck,True,"['Ġbattles', 'hip']",['Ġdeck'],2,1,5.5615196e-06,5.6122853e-06,2.2165881e-05,2.5131692e-06,0.9989942,0.0009700092,0.011744329,1,7,Ġpart,Ġrandom,Ġevent,Ġcoordinated,Ġattribute,Ġsection,Ġsubclass,Ġend,Ġof,Ġrest,Ġwhole,Ġpiece
5,random,Ġrandom,2,event,Ġevent,bed,prepare,False,['Ġbed'],['Ġprepare'],1,1,5.0895567e-05,3.204314e-06,0.0007195797,1.3538964e-06,1.8374742e-05,0.9992067,0.009756814,13,8,Ġrandom,Ġevent,Ġattribute,Ġpart,Ġcoordinated,Ġsubclass,Ġrandomly,ĠRandom,Ġsurprise,Ġthe,Ġvariable,Ġwild
1,coord,Ġcoordinated,1,coord,Ġcoordinated,library,pub,True,['Ġlibrary'],['Ġpub'],1,1,2.3902547e-07,0.9999893,7.0634574e-06,4.1483054e-07,1.0400433e-06,2.0748612e-06,0.00021040818,5,1,Ġcoordinated,Ġevent,Ġrandom,Ġcoordinate,Ġpart,Ġsubclass,Ġcoordination,Ġattribute,Ġsynchronized,Ġorganized,Ġcoordinating,Ġlinked
4,mero,Ġpart,4,mero,Ġpart,villa,floor,True,"['Ġvill', 'a']",['Ġfloor'],2,1,1.3494091e-06,1.3817889e-06,6.213003e-06,1.1101715e-06,0.9990188,0.0009711661,0.01131695,4,12,Ġpart,Ġrandom,Ġevent,Ġsection,Ġcoordinated,Ġattribute,Ġsubclass,Ġend,Ġpiece,Ġportion,Ġcomponent,Ġparts
1,coord,Ġcoordinated,1,coord,Ġcoordinated,corn,onion,True,['Ġcorn'],['Ġonion'],1,1,4.6486576e-08,0.99999964,5.4551872e-08,3.64289e-08,2.2700745e-07,5.936296e-08,1.0299968e-05,9,3,Ġcoordinated,Ġcoordinate,Ġpart,Ġcoordination,Ġrandom,Ġevent,Ġattribute,Ġsubclass,Ġsynchronized,Ġcoordinating,Ġlinked,Ġtrained
3,hyper,Ġsubclass,3,hyper,Ġsubclass,battleship,artefact,True,"['Ġbattles', 'hip']","['Ġarte', 'fact']",2,2,5.025001e-07,9.2986915e-07,8.745882e-07,0.99999595,7.460231e-07,1.0299076e-06,8.826283e-05,1,1,Ġsubclass,Ġrandom,Ġcoordinated,Ġevent,Ġpart,Ġattribute,Ġclass,Ġkind,Ġtype,Ġsubset,-,Ġcategory
