pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,antonym,hasa,hasproperty,isa,madeof,partof,synonym,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
1,hasa,contains,1,hasa,contains,lobby,wall,True,['lobby'],['wall'],1,1,0.0069714054,0.9414867,0.0022291683,0.0093377875,0.027862094,0.007208564,0.004904313,0.44728673,4,9,contains,material,minor,part,contrary,synonym,attribute,includes,contain,containing,contained,lacks,has,parts
6,synonym,synonym,3,isa,minor,call,order,False,['call'],['order'],1,1,0.01670969,0.0010043691,0.006155412,0.223489,0.0023121638,0.022911694,0.72741765,1.1160234,41,24,synonym,minor,part,contrary,attribute,material,contains,or,parts,also,major,article,not,and
6,synonym,synonym,3,isa,minor,keep,store,False,['keep'],['store'],1,1,0.015702426,0.0016207991,0.0024569542,0.16123953,0.0015379201,0.023468683,0.79397357,0.9605981,25,6,synonym,minor,part,contrary,attribute,contains,material,or,also,parts,not,and,synonymous,lesser
6,synonym,synonym,6,synonym,synonym,see,view,True,['see'],['view'],1,1,0.002978196,0.0006538305,0.0016902495,0.078461684,0.0006455387,0.009211483,0.90635896,0.5332687,25,13,synonym,minor,part,contrary,attribute,contains,material,or,also,parts,synonymous,variant,sometimes,lesser
6,synonym,synonym,0,antonym,contrary,brake,pedal,False,['brake'],['pedal'],1,1,0.04822364,0.01298043,0.0020601267,0.12909071,0.0038251665,0.06099884,0.7428211,1.2874062,7,5,synonym,minor,part,contrary,contains,material,attribute,parts,or,also,includes,contain,portion,component
3,isa,minor,3,isa,minor,lake,place,True,['lake'],['place'],1,1,0.00059277826,0.0007255734,0.011407183,0.98116964,0.0018067849,0.00091791945,0.00338008,0.16792282,3,32,minor,attribute,synonym,material,part,contains,contrary,major,important,small,other,a,key,unknown
0,antonym,contrary,0,antonym,contrary,boy,female,True,['boy'],['female'],1,1,0.9729835,0.002223233,0.005347315,0.0022124543,0.00033960489,0.004109367,0.012784565,0.23480497,4,5,contrary,synonym,attribute,part,contains,minor,material,opposite,and,not,parts,unknown,object,subject
1,hasa,contains,0,antonym,contrary,hill,crater,False,['hill'],['crater'],1,1,0.10028842,0.8311186,0.0036731518,0.01704863,0.0042630197,0.022801757,0.020806469,0.9585821,6,3,contains,contrary,part,synonym,minor,material,attribute,contain,includes,containing,contained,parts,with,has
3,isa,minor,3,isa,minor,box,hit,True,['box'],['hit'],1,1,0.061852027,0.19273366,0.19830246,0.38532376,0.009812131,0.030406957,0.12156892,2.287457,13,24,minor,attribute,contains,synonym,contrary,part,material,contain,object,includes,parts,attributes,contained,containing
0,antonym,contrary,0,antonym,contrary,slip,balance,True,['slip'],['balance'],1,1,0.79245615,0.0047040214,0.010024369,0.034452643,0.0044304123,0.034520824,0.11941158,1.1046951,26,16,contrary,synonym,part,minor,attribute,contains,material,from,parts,opposite,of,.,object,in
5,partof,part,5,partof,part,rapid,river,True,['rapid'],['river'],1,1,0.017211242,0.0026012536,0.027242517,0.20596755,0.0042095743,0.5892777,0.15349023,1.6321479,3,1,part,minor,synonym,attribute,contrary,material,contains,parts,portion,small,major,type,tributary,article
3,isa,minor,3,isa,minor,level,tool,True,['level'],['tool'],1,1,0.0026590733,0.0008847874,0.011901115,0.8762596,0.002491806,0.0052677733,0.10053578,0.6694092,19,8,minor,synonym,attribute,part,contrary,material,contains,major,a,small,reference,lesser,important,title
6,synonym,synonym,6,synonym,synonym,rest,relax,True,['rest'],['relax'],1,1,0.007456218,0.00037368012,0.013500154,0.045351252,0.00065321365,0.010806707,0.9218588,0.52889746,18,8,synonym,minor,attribute,part,contrary,material,contains,or,adjective,also,article,synonymous,parts,variant
2,hasproperty,attribute,2,hasproperty,attribute,copulate,fun,True,"['cop', '##ulate']",['fun'],2,1,0.00028164423,0.0003987704,0.99383533,0.003692706,0.00014687932,0.00021543317,0.0014292956,0.06453406,1,4,attribute,minor,synonym,contains,contrary,part,attributes,material,is,adjective,name,contain,attributed,property
5,partof,part,3,isa,minor,conflict,state,False,['conflict'],['state'],1,1,0.1599748,0.005719135,0.025313498,0.20559454,0.0199496,0.5512847,0.03216377,1.8148208,9,11,part,minor,contrary,synonym,attribute,material,contains,parts,of,major,in,main,member,subject
2,hasproperty,attribute,2,hasproperty,attribute,dice,red,True,['dice'],['red'],1,1,0.0039887615,0.0012693006,0.9890816,0.0005224717,0.0014861111,0.002450926,0.0012008616,0.11223131,3,7,attribute,contrary,part,material,contains,synonym,minor,color,attributes,colour,characteristic,opposite,contain,contained
3,isa,minor,5,partof,part,law,theory,False,['law'],['theory'],1,1,0.1567281,0.0053677866,0.0115510225,0.43625692,0.025804425,0.13301684,0.23127484,2.0677485,7,3,minor,synonym,contrary,part,material,attribute,contains,parts,major,article,or,not,separate,and
3,isa,minor,6,synonym,synonym,author,artist,False,['author'],['artist'],1,1,0.0884427,0.006179458,0.035464853,0.5201691,0.01593245,0.06671384,0.2670975,1.8805866,3,1,minor,synonym,contrary,part,attribute,material,contains,parts,major,article,subject,or,not,title
0,antonym,contrary,0,antonym,contrary,he,female,True,['he'],['female'],1,1,0.9573454,0.010850379,0.009526986,0.0023217923,0.00076777796,0.007129234,0.012058431,0.3509441,2,5,contrary,synonym,contains,attribute,part,minor,material,opposite,parts,and,subject,object,not,includes
1,hasa,contains,0,antonym,contrary,paper,ink,False,['paper'],['ink'],1,1,0.3480427,0.5508708,0.019171633,0.017854715,0.037345245,0.016313683,0.010401242,1.5593897,9,5,contains,contrary,material,attribute,minor,part,synonym,containing,contain,contained,parts,includes,opposite,object
0,antonym,contrary,0,antonym,contrary,hear,sight,True,['hear'],['sight'],1,1,0.98145306,0.0015367859,0.0011321708,0.0035466705,0.00036774823,0.006471141,0.0054923627,0.17330897,5,9,contrary,part,synonym,minor,contains,attribute,material,opposite,not,parts,compare,separate,contain,opposed
2,hasproperty,attribute,2,hasproperty,attribute,love,important,True,['love'],['important'],1,1,5.642163e-05,0.0006476275,0.9976507,0.0008914803,0.00022446261,0.00021641992,0.00031285576,0.0290715,10,5,attribute,minor,contains,synonym,attributes,material,part,is,contrary,considered,object,property,title,character
5,partof,part,5,partof,part,song,culture,True,['song'],['culture'],1,1,0.0011761221,0.0028657813,0.004470602,0.17886904,0.019185591,0.7904659,0.0029670272,0.91717374,6,8,part,minor,material,attribute,synonym,contains,contrary,parts,in,component,major,portion,is,article
3,isa,minor,3,isa,minor,club,weapon,True,['club'],['weapon'],1,1,0.00025142226,0.0028338847,0.024156414,0.94251543,0.0055169766,0.0067805117,0.017945308,0.43157104,11,2,minor,attribute,synonym,part,material,contains,major,contrary,small,a,is,an,main,type
3,isa,minor,3,isa,minor,heterosexual,person,True,['heterosexual'],['person'],1,1,0.0006328677,0.00028061998,0.036449026,0.9407601,0.0062534814,0.003354316,0.012269589,0.4183215,2,3,minor,attribute,synonym,material,part,contrary,contains,a,major,small,type,reference,negative,positive
0,antonym,contrary,0,antonym,contrary,fear,comfortable,True,['fear'],['comfortable'],1,1,0.96619385,0.0011904459,0.02087281,0.001268553,0.00069485523,0.0046829362,0.005096541,0.27057073,8,5,contrary,attribute,synonym,part,minor,contains,material,becomes,opposite,not,is,while,parts,contrast
6,synonym,synonym,6,synonym,synonym,mate,friendly,True,['mate'],['friendly'],1,1,0.004742936,0.0014305548,0.25803208,0.07609889,0.0011866527,0.006677204,0.65183175,1.2994528,13,5,synonym,attribute,minor,part,contrary,contains,material,or,adjective,attributes,title,term,synonymous,and
5,partof,part,5,partof,part,head,hammer,True,['head'],['hammer'],1,1,0.00035465043,0.00082066434,0.00033848628,0.0008126379,0.00044880997,0.9937084,0.0035162903,0.06742495,42,10,part,synonym,contains,minor,parts,material,contrary,attribute,of,portion,section,head,piece,in
5,partof,part,5,partof,part,head,table,True,['head'],['table'],1,1,0.0016436516,0.0022170735,0.00077212777,0.0038424789,0.00042134558,0.9781451,0.012958255,0.1907195,42,8,part,synonym,minor,contains,contrary,attribute,material,parts,portion,of,head,section,end,organ
0,antonym,contrary,0,antonym,contrary,lose,tight,True,['lose'],['tight'],1,1,0.75231004,0.002416382,0.059261583,0.020824507,0.0034226787,0.023842013,0.13792285,1.2385601,11,16,contrary,synonym,attribute,part,minor,material,contains,article,opposite,contain,parts,object,subject,compare
5,partof,part,5,partof,part,button,tv,True,['button'],['tv'],1,1,0.00094060454,0.0005736622,0.00041160564,0.0027244068,0.00014723607,0.9930052,0.0021972314,0.074806474,9,2,part,minor,synonym,contrary,contains,parts,attribute,in,material,of,portion,component,section,on
1,hasa,contains,1,hasa,contains,house,basement,True,['house'],['basement'],1,1,0.00020760573,0.9979527,0.0005493683,9.394219e-05,0.0004752478,0.00024655694,0.0004743915,0.026136056,14,2,contains,contain,includes,attribute,has,material,synonym,contained,part,contrary,containing,minor,have,features
5,partof,part,1,hasa,contains,envelope,letter,False,['envelope'],['letter'],1,1,0.05625532,0.060325067,0.004411799,0.19622923,0.03311362,0.33835602,0.3113089,2.1893816,6,8,part,synonym,minor,contains,contrary,material,attribute,parts,portion,contain,includes,contained,containing,or
0,antonym,contrary,2,hasproperty,attribute,swim,relax,False,['swim'],['relax'],1,1,0.63333434,0.004163101,0.2339144,0.045664825,0.0015853437,0.03473258,0.046605468,1.5331386,6,8,contrary,attribute,synonym,minor,part,contains,material,parts,attributes,contain,subject,opposite,object,article
6,synonym,synonym,6,synonym,synonym,affection,love,True,['affection'],['love'],1,1,0.00059344934,0.0008676272,0.0069919387,0.05772224,0.0024840056,0.011267937,0.9200728,0.50775033,1,10,synonym,minor,part,attribute,material,contains,contrary,or,also,parts,includes,synonymous,abbreviation,article
5,partof,part,3,isa,minor,cloudy,weather,False,['cloudy'],['weather'],1,1,0.016805666,0.0011148719,0.038773663,0.27763152,0.004338564,0.5839061,0.077429645,1.5781429,3,6,part,minor,synonym,attribute,contrary,material,contains,parts,portion,variant,component,major,side,object
3,isa,minor,3,isa,minor,cookie,food,True,['cookie'],['food'],1,1,0.0009345787,0.0025577887,0.009440558,0.9616131,0.012203132,0.010721933,0.0025288672,0.3187839,3,3,minor,material,part,attribute,contains,synonym,contrary,major,small,component,key,important,parts,main
5,partof,part,5,partof,part,face,body,True,['face'],['body'],1,1,0.042144444,0.0052090622,0.0010309552,0.04668382,0.0045815445,0.874306,0.026044043,0.7907591,22,12,part,minor,contrary,synonym,contains,material,parts,attribute,portion,whole,body,section,head,end
5,partof,part,3,isa,minor,leaf,sheet,False,['leaf'],['sheet'],1,1,0.26392597,0.013544651,0.0067052995,0.15073542,0.029246988,0.299554,0.23628768,2.2129743,6,10,part,contrary,synonym,minor,material,contains,attribute,parts,article,portion,reverse,contained,object,appendix
1,hasa,contains,2,hasproperty,attribute,human_body,water,False,"['human', '_', 'body']",['water'],3,1,0.01532397,0.88713634,0.0656697,0.0028988952,0.010165288,0.017395278,0.0014105737,0.71040875,1,10,contains,attribute,part,contrary,material,minor,synonym,containing,contain,contained,includes,parts,attributes,features
6,synonym,synonym,0,antonym,contrary,door,hole,False,['door'],['hole'],1,1,0.17387936,0.08206112,0.00966606,0.19546072,0.010874749,0.052112,0.47594604,2.0627131,5,10,synonym,minor,contrary,contains,part,material,attribute,parts,contain,or,includes,opposite,containing,small
2,hasproperty,attribute,2,hasproperty,attribute,rock,solid,True,['rock'],['solid'],1,1,0.0011730687,0.0005630399,0.9907037,0.0018881152,0.0008343774,0.00024785346,0.0045898464,0.09508549,9,18,attribute,synonym,minor,contrary,material,contains,part,attributes,adjective,property,object,article,character,is
3,isa,minor,3,isa,minor,fish,animal,True,['fish'],['animal'],1,1,0.0012951872,0.0004768805,0.025371464,0.94981086,0.014983034,0.0047694175,0.0032931222,0.37747368,6,2,minor,attribute,material,part,synonym,contrary,contains,major,small,an,component,type,important,rare
4,madeof,material,4,madeof,material,statue,stone,True,['statue'],['stone'],1,1,0.0001600535,0.00048557387,0.000997527,0.0007440366,0.99631256,0.0012273854,7.281757e-05,0.043220326,1,16,material,part,attribute,minor,contains,contrary,of,substance,synonym,materials,object,stone,in,","
0,antonym,contrary,0,antonym,contrary,dark,light,True,['dark'],['light'],1,1,0.9799367,0.0032689439,0.006172284,0.0025733982,0.00034168037,0.005680738,0.0020263218,0.18752609,16,47,contrary,attribute,part,contains,minor,synonym,material,opposite,parts,false,contrasts,contrast,not,opposed
6,synonym,synonym,6,synonym,synonym,bend,bow,True,['bend'],['bow'],1,1,0.011885405,0.0011512891,0.0015646336,0.05761342,0.0012474632,0.25629455,0.6702432,1.2413675,12,14,synonym,part,minor,contrary,attribute,material,contains,parts,or,portion,section,see,article,variant
6,synonym,synonym,3,isa,minor,burn,destroy,False,['burn'],['destroy'],1,1,0.0017666343,0.0002914966,0.0153177325,0.111357234,0.001262589,0.0111881755,0.8588161,0.73781896,20,4,synonym,minor,attribute,part,contrary,or,material,contains,",",and,/,also,article,adjective
2,hasproperty,attribute,2,hasproperty,attribute,person,lazy,True,['person'],['lazy'],1,1,0.0062957215,0.00075346866,0.9924057,7.267161e-05,9.1151756e-05,0.00015244752,0.00022887353,0.07168516,3,2,attribute,contrary,contains,attributes,synonym,part,material,minor,is,considered,characteristic,attributed,character,deemed
0,antonym,contrary,2,hasproperty,attribute,sugar,sweet,False,['sugar'],['sweet'],1,1,0.7859169,0.0037470064,0.066101514,0.018291945,0.005247692,0.048190605,0.07250429,1.1930752,4,16,contrary,synonym,attribute,part,minor,material,contains,opposite,parts,object,article,portion,and,subject
1,hasa,contains,1,hasa,contains,fiddle,string,True,['fiddle'],['string'],1,1,0.001183601,0.9668589,0.0014038383,0.0009656153,0.025877472,0.0023962243,0.0013142779,0.2513631,8,17,contains,material,part,attribute,synonym,contrary,minor,contain,includes,contained,containing,has,parts,lacks
1,hasa,contains,4,madeof,material,cloud,water_vapor,False,['cloud'],"['water', '_', 'vapor']",1,3,0.049387716,0.4119517,0.04274876,0.087375626,0.20620982,0.044677142,0.1576493,2.333311,14,1,contains,material,synonym,minor,contrary,part,attribute,containing,contain,contained,includes,parts,of,consists
0,antonym,contrary,0,antonym,contrary,keep,give,True,['keep'],['give'],1,1,0.9639896,0.0004487016,0.0021284544,0.011303149,0.00048453925,0.0033445423,0.018300863,0.28645882,25,45,contrary,synonym,minor,part,attribute,material,contains,opposite,not,while,and,contrast,parts,or
0,antonym,contrary,0,antonym,contrary,cold,hot,True,['cold'],['hot'],1,1,0.9828888,0.00056984735,0.0033906556,0.0012475797,0.00014217939,0.0026688487,0.009092047,0.15675713,16,21,contrary,synonym,attribute,part,minor,contains,opposite,material,contrast,opposed,not,compare,parts,while
2,hasproperty,attribute,1,hasa,contains,person,sleep,False,['person'],['sleep'],1,1,0.0077940356,0.2535411,0.6969034,0.008333646,0.007732785,0.014399399,0.0112955915,1.1925449,3,6,attribute,contains,part,synonym,minor,contrary,material,attributes,includes,may,contain,parts,contained,lacks
0,antonym,contrary,0,antonym,contrary,plain,complicate,True,['plain'],"['com', '##pl', '##icate']",1,3,0.95366067,0.00056145556,0.015652021,0.00458323,0.0005194408,0.0014745609,0.023548601,0.3477174,11,2,contrary,synonym,attribute,minor,part,contains,material,opposite,not,unknown,compare,or,contrast,object
1,hasa,contains,1,hasa,contains,water,surface,True,['water'],['surface'],1,1,0.0017907551,0.8963867,0.020459581,0.022757238,0.015504723,0.00731375,0.035787243,0.71382576,10,10,contains,synonym,minor,attribute,material,part,contrary,includes,contain,has,parts,containing,lacks,contained
6,synonym,synonym,6,synonym,synonym,unhappiness,sadness,True,"['un', '##ha', '##pp', '##iness']",['sadness'],4,1,0.025325583,0.0038009265,0.023555912,0.0576971,0.006713972,0.01065676,0.87224984,0.81998026,2,3,synonym,minor,contrary,attribute,part,material,contains,or,includes,parts,also,opposite,compare,synonymous
2,hasproperty,attribute,2,hasproperty,attribute,shape,fun,True,['shape'],['fun'],1,1,0.0067429794,0.0018889767,0.9338142,0.013230484,0.0036474543,0.006905314,0.033770535,0.48471746,11,4,attribute,synonym,minor,part,contrary,material,contains,attributes,character,object,parts,property,contain,name
6,synonym,synonym,3,isa,minor,action,play,False,['action'],['play'],1,1,0.108568065,0.003161224,0.01659076,0.15912545,0.008878006,0.14621933,0.5574571,1.8301709,12,52,synonym,minor,part,contrary,attribute,material,contains,parts,or,article,includes,not,opposite,also
2,hasproperty,attribute,3,isa,minor,man,male,False,['man'],['male'],1,1,0.0021913587,0.00068527716,0.9079397,0.011639456,0.0020313738,0.002276016,0.07323687,0.5421938,13,6,attribute,synonym,minor,part,contrary,material,contains,adjective,attributes,article,character,term,synonymous,noun
2,hasproperty,attribute,2,hasproperty,attribute,glass,fragile,True,['glass'],['fragile'],1,1,0.0024782813,0.0008146988,0.99503493,0.000393628,0.00042468807,0.00019374596,0.0006600854,0.055531114,12,3,attribute,contrary,contains,synonym,material,minor,attributes,part,is,object,property,considered,elements,article
2,hasproperty,attribute,3,isa,minor,sport,fun,False,['sport'],['fun'],1,1,0.00014107868,0.0014133097,0.99597126,0.000908605,0.00053795706,0.0002661024,0.00076157687,0.047056362,9,4,attribute,contains,minor,synonym,material,attributes,part,contrary,is,indicates,means,object,adjective,character
3,isa,minor,3,isa,minor,fork,shape,True,['fork'],['shape'],1,1,0.0010722609,0.00732895,0.041929677,0.86994356,0.0057344125,0.013812297,0.060178913,0.8013172,9,11,minor,synonym,attribute,part,contains,material,contrary,major,small,parts,object,main,key,includes
0,antonym,contrary,3,isa,minor,aluminum,gray,False,['aluminum'],['gray'],1,1,0.69425565,0.021193692,0.21000412,0.013799866,0.03384166,0.009615547,0.017289441,1.3723972,1,15,contrary,attribute,material,contains,synonym,minor,part,opposite,attributes,parts,contain,object,reverse,elements
0,antonym,contrary,0,antonym,contrary,middle,side,True,['middle'],['side'],1,1,0.5884646,0.0050915275,0.002976678,0.11100124,0.0017398746,0.046292767,0.2444333,1.5839251,9,14,contrary,synonym,minor,part,contains,attribute,material,opposite,not,parts,or,and,reverse,side
1,hasa,contains,1,hasa,contains,bath,water,True,['bath'],['water'],1,1,0.037064936,0.55134577,0.09227727,0.09233475,0.159645,0.0281444,0.03918789,2.0350852,7,10,contains,material,minor,attribute,synonym,contrary,part,containing,contain,contained,includes,source,parts,subject
0,antonym,contrary,0,antonym,contrary,gentle,wild,True,['gentle'],['wild'],1,1,0.995025,6.490571e-05,0.0019179177,0.0003204126,2.9971694e-05,0.00053050613,0.0021113136,0.054080397,10,17,contrary,synonym,attribute,part,minor,opposite,contains,material,not,opposed,contrast,while,unlike,whereas
5,partof,part,4,madeof,material,alcohol,rice,False,['alcohol'],['rice'],1,1,0.14350587,0.061863773,0.09831272,0.04145075,0.21056893,0.35042566,0.093872234,2.4934783,2,5,part,material,contrary,attribute,synonym,contains,minor,parts,contained,component,in,content,elements,ingredient
3,isa,minor,3,isa,minor,baseball,game,True,['baseball'],['game'],1,1,0.00011730955,0.00059378904,0.029681994,0.9578281,0.0008009294,0.0035032902,0.0074745696,0.30766395,2,14,minor,attribute,synonym,part,material,contains,major,contrary,a,small,title,name,secondary,reference
5,partof,part,5,partof,part,object,sentence,True,['object'],['sentence'],1,1,0.0125542665,0.0004728086,0.00129129,0.016546808,0.0017615975,0.95553476,0.0118385255,0.34940618,7,4,part,minor,contrary,synonym,material,attribute,parts,in,contains,of,portion,article,section,component
6,synonym,synonym,6,synonym,synonym,rush,charge,True,['rush'],['charge'],1,1,0.009421703,0.0005237123,0.0065740664,0.12915412,0.0013240492,0.009760437,0.8432419,0.78340954,16,40,synonym,minor,part,contrary,attribute,material,contains,or,also,parts,lesser,synonymous,major,and
1,hasa,contains,1,hasa,contains,city,skyscraper,True,['city'],['skyscraper'],1,1,0.05309883,0.8794009,0.011694126,0.00987269,0.02138256,0.009136049,0.0154148135,0.80205667,3,1,contains,contrary,material,synonym,attribute,minor,part,contain,includes,parts,containing,contained,features,object
6,synonym,synonym,6,synonym,synonym,light,ignite,True,['light'],"['ign', '##ite']",1,2,0.09220216,0.0046495893,0.12031003,0.13321501,0.0068311114,0.051509947,0.5912821,1.8258884,47,3,synonym,minor,attribute,contrary,part,material,contains,parts,article,opposite,also,not,or,object
