pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ant,hyper,part_of,random,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10
1,hyper,Ġsubclass,1,hyper,Ġsubclass,coach,teach,True,['Ġcoach'],['Ġteach'],1,1,3.179281e-08,0.9906908,2.0039246e-07,2.266052e-09,0.009308977,0.076182075,7,3,Ġsubclass,Ġequivalent,Ġtype,Ġpart,Ġsimilar,Ġcontrary,Ġother,Ġclass,Ġlike,Ġanalogous
4,syn,Ġequivalent,1,hyper,Ġsubclass,coach,teacher,False,['Ġcoach'],['Ġteacher'],1,1,8.703498e-05,0.0007797605,1.653089e-05,3.720589e-07,0.99911624,0.010769586,7,2,Ġequivalent,Ġsubclass,Ġcontrary,Ġpart,Ġsubstitute,Ġsimilar,Ġequivalents,Ġsuperior,Ġor,Ġcomparable
3,random,Ġrandom,3,random,Ġrandom,coach,coat,True,['Ġcoach'],['Ġcoat'],1,1,1.381357e-07,6.8102025e-08,1.2013433e-08,0.9999994,3.8606717e-07,1.4084139e-05,7,6,Ġrandom,ĠRandom,Ġequivalent,Ġrandomized,Ġrandomly,random,Ġcontrary,Ġarbitrary,Ġsubclass,Random
3,random,Ġrandom,3,random,Ġrandom,coach,dog,True,['Ġcoach'],['Ġdog'],1,1,2.464265e-07,3.3779624e-09,1.4292666e-09,0.99999976,1.5469105e-08,6.29202e-06,7,8,Ġrandom,ĠRandom,Ġcontrary,random,Ġrandomly,Ġarbitrary,Random,Ġequivalent,Ġwild,Ġunrelated
3,random,Ġrandom,3,random,Ġrandom,coach,performance,True,['Ġcoach'],['Ġperformance'],1,1,1.5249684e-08,4.83286e-09,2.4752855e-09,0.99999976,2.3192497e-07,6.055811e-06,7,5,Ġrandom,Ġequivalent,random,ĠRandom,Ġarbitrary,Ġrandomly,Ġrandomized,Random,Ġcontrary,Ġvariable
3,random,Ġrandom,3,random,Ġrandom,coach,pit,True,['Ġcoach'],['Ġpit'],1,1,3.1586913e-07,1.7523831e-09,4.3512244e-10,0.9999995,1.4066045e-07,1.0688988e-05,7,14,Ġrandom,random,Ġcontrary,ĠRandom,Ġequivalent,Ġarbitrary,Ġrandomized,Ġrandomly,Random,Ġunrelated
3,random,Ġrandom,3,random,Ġrandom,coach,rain,True,['Ġcoach'],['Ġrain'],1,1,1.6180293e-07,9.053006e-10,1.1559641e-09,0.9999999,2.4403906e-08,4.500785e-06,7,4,Ġrandom,random,ĠRandom,Ġcontrary,Ġrandomly,Random,Ġequivalent,Ġarbitrary,Ġrandomized,Ġunrelated
3,random,Ġrandom,3,random,Ġrandom,coach,rear,True,['Ġcoach'],['Ġrear'],1,1,2.8010618e-06,6.102435e-08,6.175122e-08,0.9999914,5.5449655e-06,0.00016363664,7,11,Ġrandom,Ġequivalent,Ġcontrary,Ġrandomly,random,Ġarbitrary,ĠRandom,Ġrandomized,Ġpart,Ġsubclass
3,random,Ġrandom,3,random,Ġrandom,coach,ride,True,['Ġcoach'],['Ġride'],1,1,8.414067e-09,1.4243692e-08,4.3923684e-10,1.0,1.5708277e-08,1.01784e-06,7,16,Ġrandom,random,ĠRandom,Ġarbitrary,Ġrandomized,Random,Ġrandomly,Ġwild,Ġequivalent,Ġsubclass
3,random,Ġrandom,3,random,Ġrandom,coach,side,True,['Ġcoach'],['Ġside'],1,1,6.337226e-06,3.6133326e-08,1.229051e-08,0.9999933,3.3907122e-07,0.00012756397,7,14,Ġrandom,Ġcontrary,Ġequivalent,ĠRandom,Ġrandomly,random,Ġarbitrary,Ġside,Ġsubclass,Ġopposite
