pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,antonym,hasa,hasproperty,isa,madeof,partof,synonym,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
1,hasa,contains,1,hasa,contains,lobby,wall,True,['lobby'],['wall'],1,1,0.014837677,0.9531416,0.0040694294,0.0023688425,0.0076786294,0.0048085004,0.01309524,0.38197777,4,9,contains,contrary,synonym,material,part,attribute,minor,contain,containing,contained,is,includes,consists,subject
0,antonym,contrary,3,isa,minor,call,order,False,['call'],['order'],1,1,0.3576611,0.0023593376,0.009400836,0.30688423,0.0035972723,0.096014984,0.22408214,1.9747609,41,24,contrary,minor,synonym,part,attribute,material,contains,subordinate,component,subject,characteristic,property,non,opposite
6,synonym,synonym,3,isa,minor,keep,store,False,['keep'],['store'],1,1,0.16422169,0.0020551744,0.0031505628,0.3402837,0.0013686067,0.02502099,0.4638993,1.6619451,25,6,synonym,minor,contrary,part,attribute,contains,material,opposite,subordinate,separate,subsidiary,lesser,plural,type
6,synonym,synonym,6,synonym,synonym,see,view,True,['see'],['view'],1,1,0.082993485,0.0024735183,0.005304154,0.28659075,0.0011716443,0.017571472,0.603895,1.4295073,25,13,synonym,minor,contrary,part,attribute,contains,material,plural,lesser,opposite,separate,component,not,subsidiary
6,synonym,synonym,0,antonym,contrary,brake,pedal,False,['brake'],['pedal'],1,1,0.24631712,0.013625755,0.00570562,0.31129742,0.0059722005,0.033444874,0.38363704,1.887318,7,5,synonym,minor,contrary,part,contains,material,attribute,parts,opposite,component,not,subordinate,property,type
3,isa,minor,3,isa,minor,lake,place,True,['lake'],['place'],1,1,0.012243959,0.003539312,0.009520684,0.9678133,0.0027903845,0.0007043422,0.003388016,0.27505064,3,32,minor,contrary,attribute,contains,synonym,material,part,major,small,type,common,principal,name,main
0,antonym,contrary,0,antonym,contrary,boy,female,True,['boy'],['female'],1,1,0.57465833,0.00011701404,0.4071597,0.0068313205,0.00013607746,0.00052569085,0.010571882,1.1146296,4,5,contrary,attribute,synonym,minor,part,attributes,material,contains,opposite,equal,inferior,subordinate,child,superior
0,antonym,contrary,0,antonym,contrary,hill,crater,True,['hill'],['crater'],1,1,0.7163881,0.006071007,0.0034363465,0.030035082,0.0008871138,0.006754753,0.23642771,1.119032,6,3,contrary,synonym,minor,part,contains,attribute,material,opposite,subordinate,inferior,superior,not,lesser,parent
6,synonym,synonym,3,isa,minor,box,hit,False,['box'],['hit'],1,1,0.076719634,0.22794144,0.12139,0.26904902,0.0029211177,0.0023194358,0.29965937,2.2152283,13,24,synonym,minor,contains,attribute,contrary,material,part,contain,attributes,containing,type,is,includes,subject
0,antonym,contrary,0,antonym,contrary,slip,balance,True,['slip'],['balance'],1,1,0.96224827,1.8065457e-05,0.00033002117,0.018640952,0.00052831013,0.011282763,0.00695154,0.29320323,26,16,contrary,minor,part,synonym,lack,material,attribute,loss,non,not,null,opposite,absence,negative
6,synonym,synonym,5,partof,part,rapid,river,False,['rapid'],['river'],1,1,0.22938897,0.0013570641,0.007249049,0.1882863,0.002249056,0.10458555,0.46688408,1.8787732,3,1,synonym,contrary,minor,part,attribute,material,contains,component,parts,type,characteristic,opposite,subsidiary,subordinate
3,isa,minor,3,isa,minor,level,tool,True,['level'],['tool'],1,1,0.016685259,0.0026116718,0.0046760947,0.63451314,0.0034018147,0.026993398,0.31111863,1.266184,19,8,minor,synonym,part,contrary,attribute,material,contains,type,major,subordinate,separate,lesser,characteristic,parts
0,antonym,contrary,6,synonym,synonym,rest,relax,False,['rest'],['relax'],1,1,0.72213405,0.0003057706,0.034743816,0.039079096,0.000315509,0.015413828,0.18800788,1.2436934,18,8,contrary,synonym,minor,attribute,part,material,opposite,contains,virtue,substitute,characteristic,property,attributes,subsidiary
2,hasproperty,attribute,2,hasproperty,attribute,copulate,fun,True,"['cop', '##ulate']",['fun'],2,1,0.000795769,0.00012613476,0.9918189,0.0062425463,7.431759e-05,0.00015971226,0.00078266254,0.07840937,1,4,attribute,minor,contrary,synonym,attributes,part,contains,material,property,element,object,subject,adjective,aspect
0,antonym,contrary,3,isa,minor,conflict,state,False,['conflict'],['state'],1,1,0.5172557,0.0010617102,0.0027255225,0.256677,0.014136366,0.15143366,0.056710016,1.7632828,9,11,contrary,minor,part,synonym,material,attribute,contains,subject,property,parts,disorder,fact,negative,characteristic
2,hasproperty,attribute,2,hasproperty,attribute,dice,red,True,['dice'],['red'],1,1,0.00040241552,0.0008487599,0.9982413,0.00013432202,9.7771685e-05,3.757321e-05,0.00023784488,0.022178652,3,7,attribute,contains,contrary,synonym,color,minor,attributes,material,part,colour,property,adjective,shade,characteristic
3,isa,minor,5,partof,part,law,theory,False,['law'],['theory'],1,1,0.029639414,0.003681194,0.008396504,0.64300555,0.011370496,0.18397205,0.11993482,1.5375234,7,3,minor,part,synonym,contrary,material,attribute,contains,subject,component,one,characteristic,parts,major,property
0,antonym,contrary,6,synonym,synonym,author,artist,False,['author'],['artist'],1,1,0.4235339,0.001484171,0.014460282,0.2074055,0.0021342325,0.009558529,0.34142333,1.7103685,3,1,contrary,synonym,minor,attribute,part,material,contains,subordinate,not,opposite,lesser,equal,attributes,daughter
2,hasproperty,attribute,0,antonym,contrary,he,female,False,['he'],['female'],1,1,0.3161712,0.0037482968,0.61422986,0.025625272,0.001575156,0.0011524538,0.03749779,1.3263414,2,5,attribute,contrary,synonym,minor,contains,material,part,attributes,is,opposite,not,adjective,type,characteristic
1,hasa,contains,0,antonym,contrary,paper,ink,False,['paper'],['ink'],1,1,0.008079224,0.849494,0.057478406,0.002793088,0.07732086,0.00016355726,0.0046709804,0.8403915,9,5,contains,material,attribute,contrary,synonym,minor,contain,containing,contained,part,subject,attributes,source,pure
0,antonym,contrary,0,antonym,contrary,hear,sight,True,['hear'],['sight'],1,1,0.93988585,0.0006669719,0.0024045464,0.0065437444,0.0003302081,0.0027103866,0.047458228,0.39511535,5,9,contrary,synonym,minor,part,attribute,contains,material,opposite,not,lesser,separate,subordinate,independent,superior
2,hasproperty,attribute,2,hasproperty,attribute,love,important,True,['love'],['important'],1,1,0.00081193034,0.00011259659,0.9930761,0.005041619,6.9308044e-05,0.00012450737,0.0007639588,0.06872684,10,5,attribute,minor,contrary,synonym,attributes,part,contains,material,property,and,aspect,virtue,nature,person
5,partof,part,5,partof,part,song,culture,True,['song'],['culture'],1,1,0.003197083,0.0008135734,0.0045904717,0.051494826,0.012448385,0.9239173,0.0035382544,0.50393564,6,8,part,minor,material,attribute,synonym,contrary,contains,component,characteristic,subject,parts,property,aspect,member
3,isa,minor,3,isa,minor,club,weapon,True,['club'],['weapon'],1,1,0.0023616687,0.0012660925,0.0016375706,0.9595421,0.0016464684,0.008261583,0.025284449,0.3116585,11,2,minor,synonym,part,contrary,material,attribute,contains,type,major,lesser,component,secondary,small,non
3,isa,minor,3,isa,minor,heterosexual,person,True,['heterosexual'],['person'],1,1,0.009378749,0.002874034,0.0034893884,0.97777426,0.0016524442,0.0019763007,0.0028548026,0.20478624,2,3,minor,contrary,attribute,contains,synonym,part,material,small,separate,major,non,singular,minors,private
0,antonym,contrary,0,antonym,contrary,fear,comfortable,True,['fear'],['comfortable'],1,1,0.99243516,5.5021846e-06,0.0066603655,0.00045159238,2.9366864e-05,0.00032468094,9.3322e-05,0.06959659,8,5,contrary,attribute,minor,part,synonym,lack,not,material,opposite,least,property,limit,non,nature
