pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,coord,hyper,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6
2,random,Ġrandom,2,random,Ġrandom,van,co-ordinate,True,['Ġvan'],"['Ġco', '-', 'ordinate']",1,3,2.8047436e-06,4.830205e-05,0.99994886,0.0008179559,5,5,Ġrandom,Ġsubclass,Ġrandomly,Ġarbitrary,Ġcoordinated,ĠRandom
1,hyper,Ġsubclass,1,hyper,Ġsubclass,phone,good,True,['Ġphone'],['Ġgood'],1,1,4.8940896e-05,0.97508156,0.02486951,0.16874032,4,27,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġgroup,Ġtype
1,hyper,Ġsubclass,1,hyper,Ġsubclass,orbital,circular,True,['Ġorbital'],['Ġcircular'],1,1,6.365156e-05,0.9997032,0.00023306056,0.0041276123,2,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġsubset,Ġgroup,Ġclass
0,coord,Ġcoordinated,1,hyper,Ġsubclass,trumpet,horn,False,['Ġtrumpet'],['Ġhorn'],1,1,0.99935263,0.0006294971,1.7897559e-05,0.007909657,4,12,Ġcoordinated,Ġsubclass,Ġsynchronized,Ġcoordinate,Ġcoordination,Ġrandom
0,coord,Ġcoordinated,0,coord,Ġcoordinated,dishwasher,telephone,True,"['Ġdish', 'washer']",['Ġtelephone'],2,1,0.99977,1.2479758e-06,0.0002288496,0.0031238273,2,3,Ġcoordinated,Ġrandom,Ġsynchronized,Ġcoordinate,Ġcoordination,Ġcoordinating
1,hyper,Ġsubclass,1,hyper,Ġsubclass,evidence,argue,True,['Ġevidence'],['Ġargue'],1,1,1.47341325e-05,0.98952055,0.010464754,0.08411612,6,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġgroup,Ġarbitrary
2,random,Ġrandom,2,random,Ġrandom,coconut,accumulate,True,['Ġcoconut'],['Ġaccumulate'],1,1,6.088525e-06,4.2497722e-05,0.99995136,0.00079273066,3,2,Ġrandom,Ġsubclass,Ġcoordinated,Ġrandomly,ĠRandom,Ġarbitrary
2,random,Ġrandom,2,random,Ġrandom,coupling,fruit,True,['Ġcoupling'],['Ġfruit'],1,1,6.6383805e-06,0.00033452566,0.9996588,0.0044685276,7,5,Ġrandom,Ġsubclass,Ġrandomly,Ġcoordinated,Ġarbitrary,Ġrandomized
0,coord,Ġcoordinated,0,coord,Ġcoordinated,hatchet,spear,True,"['Ġhat', 'chet']",['Ġspear'],2,1,0.99999475,1.9105325e-06,3.3471435e-06,0.00010474272,2,4,Ġcoordinated,Ġrandom,Ġsynchronized,Ġcoordinate,Ġcoordination,Ġsubclass
1,hyper,Ġsubclass,2,random,Ġrandom,hospital,place,False,['Ġhospital'],['Ġplace'],1,1,3.1642827e-05,0.9853249,0.014643487,0.110720046,2,32,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġtype,Ġgroup
