pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,COORD,HYPER,RANDOM,entropy,nsynsests_source,nsynsests_target
2,RANDOM,2,RANDOM,van,co-ordinate,True,['van'],"['co', '-', 'or', '##dina', '##te']",1,5,0.00016209512,0.0021601648,0.99767774,0.02451482,5,5
1,HYPER,1,HYPER,phone,good,True,['phone'],['good'],1,1,0.0021535726,0.868515,0.1293314,0.5773532,4,27
1,HYPER,1,HYPER,orbital,circular,True,['orbital'],['circular'],1,1,0.0031187888,0.9735241,0.023357108,0.19024518,2,3
0,COORD,1,HYPER,trumpet,horn,False,['trumpet'],['horn'],1,1,0.9973941,0.0019096619,0.00069628423,0.028306251,4,12
0,COORD,0,COORD,dishwasher,telephone,True,"['dish', '##wash', '##er']",['telephone'],3,1,0.9982768,0.0009541134,0.0007690935,0.020012941,2,3
2,RANDOM,1,HYPER,evidence,argue,False,['evidence'],['argue'],1,1,0.00056121114,0.078265324,0.92117345,0.40284133,6,3
2,RANDOM,2,RANDOM,coconut,accumulate,True,['coconut'],['accumulate'],1,1,0.00019796824,0.0039239554,0.9958781,0.039735906,3,2
2,RANDOM,2,RANDOM,coupling,fruit,True,['coupling'],['fruit'],1,1,0.0001638813,0.0019010437,0.99793506,0.022220343,7,5
0,COORD,0,COORD,hatchet,spear,True,"['hatch', '##et']",['spear'],2,1,0.99693453,0.0021297203,0.00093572395,0.032732178,2,4
1,HYPER,2,RANDOM,hospital,place,False,['hospital'],['place'],1,1,0.0024128298,0.94560355,0.051983587,0.31903452,2,32
1,HYPER,1,HYPER,hate,dislike,True,['hate'],['dislike'],1,1,0.0026031109,0.9754496,0.02194729,0.17825495,2,3
1,HYPER,1,HYPER,crystal,rock,True,['crystal'],['rock'],1,1,0.0017522994,0.9318382,0.066409424,0.37077612,6,9
1,HYPER,1,HYPER,normative,appropriate,True,"['norma', '##tive']",['appropriate'],2,1,0.0015566249,0.97019637,0.028247016,0.20222184,2,3
1,HYPER,2,RANDOM,dress,uniform,False,['dress'],['uniform'],1,1,0.017532501,0.95522857,0.027238898,0.30699798,21,6
2,RANDOM,2,RANDOM,pine,hint,True,['pine'],['hint'],1,1,0.00015628252,0.0006975569,0.9991461,0.010521431,3,6
2,RANDOM,1,HYPER,cut,free,False,['cut'],['free'],1,1,0.00043378622,0.03318278,0.9663834,0.21556067,70,22
0,COORD,0,COORD,fridge,washer,True,['fridge'],"['wash', '##er']",1,2,0.9612718,0.0086155925,0.030112483,0.2660429,1,3
