pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,coord,hyper,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6
2,random,random,2,random,random,van,co-ordinate,True,['van'],"['co', '-', 'or', '##dina', '##te']",1,5,0.0002038893,0.09066194,0.90913427,0.4414413,5,5,random,minor,coordinated,major,regular,specific
2,random,random,1,hyper,minor,phone,good,False,['phone'],['good'],1,1,9.452991e-06,0.053722966,0.94626755,0.30217683,4,27,random,minor,no,all,small,regular
1,hyper,minor,1,hyper,minor,orbital,circular,True,['orbital'],['circular'],1,1,0.001754531,0.9660769,0.032168552,0.2236615,2,3,minor,random,coordinated,major,regular,irregular
0,coord,coordinated,1,hyper,minor,trumpet,horn,False,['trumpet'],['horn'],1,1,0.99890137,0.0010654794,3.3141365e-05,0.012598142,4,12,coordinated,minor,random,coordination,major,small
0,coord,coordinated,0,coord,coordinated,dishwasher,telephone,True,"['dish', '##wash', '##er']",['telephone'],3,1,0.9999329,2.5254498e-05,4.1889743e-05,0.0010917418,2,3,coordinated,random,minor,coordination,synchronized,automatic
1,hyper,minor,1,hyper,minor,evidence,argue,True,['evidence'],['argue'],1,1,5.5320033e-05,0.62923,0.37071466,0.95204437,6,3,minor,random,.,-,and,small
2,random,random,2,random,random,coconut,accumulate,True,['coconut'],['accumulate'],1,1,7.3925854e-05,0.093420886,0.9065052,0.44889703,3,2,random,minor,##s,viruses,coordinated,-
2,random,random,2,random,random,coupling,fruit,True,['coupling'],['fruit'],1,1,6.154791e-05,0.007692843,0.9922456,0.06602585,7,5,random,minor,coordinated,the,of,individual
0,coord,coordinated,0,coord,coordinated,hatchet,spear,True,"['hatch', '##et']",['spear'],2,1,0.9981931,0.0012487503,0.0005582051,0.020681515,2,4,coordinated,minor,random,coordination,and,or
1,hyper,minor,2,random,random,hospital,place,False,['hospital'],['place'],1,1,5.1862018e-05,0.907745,0.092203155,0.44458702,2,32,minor,random,major,unknown,coordinated,small
1,hyper,minor,1,hyper,minor,hate,dislike,True,['hate'],['dislike'],1,1,0.00038751794,0.9715925,0.028019954,0.18929765,2,3,minor,random,coordinated,major,regular,small
1,hyper,minor,1,hyper,minor,crystal,rock,True,['crystal'],['rock'],1,1,0.00021844909,0.98324513,0.01653638,0.12449069,6,9,minor,random,coordinated,small,major,soft
