pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,coord,hyper,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6
2,random,random,2,random,random,van,co-ordinate,True,['van'],"['co', '-', 'or', '##dina', '##te']",1,5,0.0001605773,0.01781646,0.98202294,0.13125,5,5,random,minor,coordinated,randomly,van,:
1,hyper,minor,1,hyper,minor,phone,good,True,['phone'],['good'],1,1,0.00043882817,0.5877874,0.41177377,0.9826141,4,27,minor,random,coordinated,major,small,general
1,hyper,minor,1,hyper,minor,orbital,circular,True,['orbital'],['circular'],1,1,0.0030776088,0.99220407,0.0047183856,0.07334413,2,3,minor,random,coordinated,major,",",-
0,coord,coordinated,1,hyper,minor,trumpet,horn,False,['trumpet'],['horn'],1,1,0.9840565,0.012591832,0.003351783,0.12984367,4,12,coordinated,minor,random,coordination,-,","
0,coord,coordinated,0,coord,coordinated,dishwasher,telephone,True,"['dish', '##wash', '##er']",['telephone'],3,1,0.9960924,0.0013763945,0.0025312947,0.04054384,2,3,coordinated,random,minor,-,coordination,","
1,hyper,minor,1,hyper,minor,evidence,argue,True,['evidence'],['argue'],1,1,0.00023331221,0.89699227,0.10277444,0.4808442,6,3,minor,random,coordinated,major,or,:
2,random,random,2,random,random,coconut,accumulate,True,['coconut'],['accumulate'],1,1,1.6526214e-05,0.005021334,0.9949622,0.04586385,3,2,random,minor,coordinated,randomly,major,wild
2,random,random,2,random,random,coupling,fruit,True,['coupling'],['fruit'],1,1,0.00016784912,0.008024984,0.99180704,0.06974035,7,5,random,minor,coordinated,randomly,the,wild
0,coord,coordinated,0,coord,coordinated,hatchet,spear,True,"['hatch', '##et']",['spear'],2,1,0.97428787,0.020647105,0.005065048,0.19081655,2,4,coordinated,minor,random,-,coordination,major
1,hyper,minor,2,random,random,hospital,place,False,['hospital'],['place'],1,1,0.0003142739,0.9107879,0.08889784,0.43684813,2,32,minor,random,coordinated,major,small,unknown
1,hyper,minor,1,hyper,minor,hate,dislike,True,['hate'],['dislike'],1,1,0.00049236673,0.9949645,0.004543235,0.048012428,2,3,minor,random,coordinated,major,or,-
1,hyper,minor,1,hyper,minor,crystal,rock,True,['crystal'],['rock'],1,1,0.00012914611,0.98320997,0.016660871,0.12410911,6,9,minor,random,coordinated,major,-,or
1,hyper,minor,1,hyper,minor,normative,appropriate,True,"['norma', '##tive']",['appropriate'],2,1,0.0005193234,0.9790918,0.020388868,0.15001833,2,3,minor,random,coordinated,major,",",-
1,hyper,minor,2,random,random,dress,uniform,False,['dress'],['uniform'],1,1,0.0039022728,0.9851114,0.010986358,0.12404369,21,6,minor,random,coordinated,major,",",or
2,random,random,2,random,random,pine,hint,True,['pine'],['hint'],1,1,3.75865e-05,0.010657479,0.9893049,0.08572716,3,6,random,minor,coordinated,randomly,major,wild
1,hyper,minor,1,hyper,minor,cut,free,True,['cut'],['free'],1,1,0.00019802646,0.5417521,0.45804983,0.9974631,70,22,minor,random,coordinated,the,major,-
0,coord,coordinated,0,coord,coordinated,fridge,washer,True,['fridge'],"['wash', '##er']",1,2,0.9926634,0.0049054245,0.002431216,0.06929002,1,3,coordinated,minor,random,-,coordination,","
0,coord,coordinated,0,coord,coordinated,grasshopper,cricket,True,"['grass', '##hopper']",['cricket'],2,1,0.999278,0.0006213596,0.0001006905,0.008997082,2,3,coordinated,minor,random,cricket,coordination,-
0,coord,coordinated,0,coord,coordinated,donkey,bull,True,['donkey'],['bull'],1,1,0.99998343,8.611516e-06,8.0166255e-06,0.0003045068,2,15,coordinated,minor,random,coordination,coordinating,-
0,coord,coordinated,0,coord,coordinated,cow,beaver,True,['cow'],['beaver'],1,1,0.99996126,2.4649555e-05,1.4082916e-05,0.0006601866,4,8,coordinated,minor,random,coordination,coordinating,:
0,coord,coordinated,0,coord,coordinated,grenade,rifle,True,['grenade'],['rifle'],1,1,0.9969976,0.0015217126,0.001480763,0.032486927,1,3,coordinated,minor,random,coordination,-,major
1,hyper,minor,1,hyper,minor,dog,animal,True,['dog'],['animal'],1,1,0.00049526343,0.94907576,0.05042905,0.2943319,8,2,minor,random,coordinated,major,small,unknown
