pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
2,hyp,minor,4,no-rel,random,advance,take,1.42,False,['advance'],['take'],1,1,10.682582,13.851418,18.062569,11.759605,13.17479,11.866495,14.500634,0.00059096253,0.014052958,0.9476489,0.0017350233,0.0071435208,0.0019307538,0.026897937,0.39087683,20,44,minor,synonym,coordinated,random,major,part,contrary,limited,no,small,alternate,non,and,slight
2,hyp,minor,2,hyp,minor,aura,light,3.69,True,['aura'],['light'],1,1,9.93161,16.103558,17.601938,12.323696,11.748927,9.157099,11.898392,0.00037755742,0.18089466,0.80940187,0.004129075,0.0023239874,0.00017402715,0.002698643,0.77568334,3,47,minor,coordinated,part,synonym,random,lesser,contrary,complementary,subtle,major,other,visible,secondary,low
2,hyp,minor,4,no-rel,random,tusk,duty,0.08,False,"['tu', '##sk']",['duty'],2,1,8.890984,13.642992,15.046915,12.628157,13.243215,9.088812,10.271781,0.0014022297,0.16240156,0.66115946,0.058864407,0.10888525,0.0017089717,0.005578171,1.4801842,4,3,minor,coordinated,random,part,synonym,off,major,contrary,on,active,extra,coordination,regular,normal
2,hyp,minor,2,hyp,minor,place,area,4.77,True,['place'],['area'],1,1,7.7961917,14.785467,18.726671,10.730734,11.572835,15.851898,16.48307,1.5133667e-05,0.01641904,0.8452612,0.00028470787,0.000660875,0.0476972,0.08966181,0.83427304,32,6,minor,synonym,major,coordinated,random,or,specific,part,name,/,and,coordinate,named,general
5,r-hyp,major,5,r-hyp,major,material,leather,1.64,True,['material'],['leather'],1,1,8.96312,13.926579,11.222237,14.856266,9.69578,20.686716,11.5047,8.065719e-06,0.0011541068,7.722623e-05,0.0029241773,1.6781587e-05,0.9957172,0.000102432314,0.044858586,11,2,major,part,coordinated,main,synonym,minor,specific,key,important,principal,primary,general,random,significant
2,hyp,minor,2,hyp,minor,add,calculate,5.23,True,['add'],['calculate'],1,1,11.769519,13.312287,15.277008,10.582066,10.816897,12.913992,12.238772,0.022485945,0.10517849,0.75022984,0.006858146,0.0086734705,0.07062353,0.035950534,1.3271137,7,6,minor,coordinated,major,synonym,contrary,random,part,to,and,coordinate,or,small,-,add
1,cohyp,coordinated,5,r-hyp,major,toy,doll,2.1,False,['toy'],['doll'],1,1,13.199864,18.321417,14.769448,14.273574,9.127517,14.487547,14.342903,0.0054613794,0.91530174,0.026240006,0.015981166,9.304739e-05,0.019794099,0.017128436,0.60485595,8,2,coordinated,minor,major,synonym,part,contrary,parts,random,or,coordination,specific,and,general,organized
1,cohyp,coordinated,2,hyp,minor,instruct,inform,4.31,False,"['ins', '##truct']",['inform'],2,1,15.596351,16.2927,15.736876,10.164178,10.478318,14.07528,12.506565,0.22564992,0.4527472,0.25969547,0.0009868986,0.0013511449,0.049299516,0.0102697145,1.8120278,3,3,coordinated,minor,contrary,major,synonym,random,part,or,not,general,coordination,coordinate,non,specific
1,cohyp,coordinated,1,cohyp,coordinated,jug,jar,2.4,True,['jug'],['jar'],1,1,9.028237,18.160625,16.368076,11.812223,7.560132,12.060568,15.0322695,8.9017325e-05,0.8234179,0.137128,0.0014406032,2.0506168e-05,0.0018467112,0.03605725,0.82859874,4,8,coordinated,minor,synonym,major,part,or,and,contrary,small,sometimes,mixed,not,random,coordination
6,syn,synonym,6,syn,synonym,flower,bloom,2.45,True,['flower'],['bloom'],1,1,11.366094,17.147474,15.184929,13.738959,10.422057,11.267171,17.569248,0.0011401385,0.3696403,0.05193459,0.01223151,0.00044357573,0.0010327519,0.5635772,1.3226423,4,7,synonym,coordinated,minor,part,contrary,major,random,partial,full,mixed,specific,combined,multiple,coordination
