pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ANT,HYPER,PART_OF,RANDOM,SYN,entropy,nsynsests_source,nsynsests_target
0,ANT,1,HYPER,coach,teach,False,['coach'],['teach'],1,1,0.6049753,0.01200706,0.0046301396,0.010977945,0.3674095,1.1533442,7,3
0,ANT,1,HYPER,coach,teacher,False,['coach'],['teacher'],1,1,0.99402374,0.0005956068,0.000584321,0.00018127385,0.00461505,0.059316557,7,2
3,RANDOM,3,RANDOM,coach,coat,True,['coach'],['coat'],1,1,4.29345e-05,6.284693e-05,8.966018e-05,0.9997739,3.067723e-05,0.0034916294,7,6
3,RANDOM,3,RANDOM,coach,dog,True,['coach'],['dog'],1,1,4.4303353e-05,5.595344e-05,9.3448965e-05,0.99977416,3.2209715e-05,0.003488542,7,8
3,RANDOM,3,RANDOM,coach,performance,True,['coach'],['performance'],1,1,4.1087438e-05,7.855173e-05,0.00012132902,0.9997278,3.1274816e-05,0.004108843,7,5
3,RANDOM,3,RANDOM,coach,pit,True,['coach'],['pit'],1,1,4.979214e-05,5.5504468e-05,9.5840485e-05,0.99976486,3.39572e-05,0.0036190806,7,14
3,RANDOM,3,RANDOM,coach,rain,True,['coach'],['rain'],1,1,4.946702e-05,5.8838406e-05,9.938896e-05,0.99976283,2.9408895e-05,0.003640652,7,4
3,RANDOM,3,RANDOM,coach,rear,True,['coach'],['rear'],1,1,4.69557e-05,5.7989186e-05,0.00010072979,0.99976236,3.1922063e-05,0.0036482539,7,11
3,RANDOM,3,RANDOM,coach,ride,True,['coach'],['ride'],1,1,6.5066655e-05,0.0016233069,0.00039624583,0.99769694,0.00021847595,0.026401475,7,16
3,RANDOM,3,RANDOM,coach,side,True,['coach'],['side'],1,1,5.289886e-05,5.8908194e-05,9.770652e-05,0.99975795,3.2504468e-05,0.0037144904,7,14
1,HYPER,1,HYPER,dance,move,True,['dance'],['move'],1,1,6.2463914e-05,0.9990382,0.00021998226,0.00014516413,0.00053428445,0.012590898,7,21
3,RANDOM,3,RANDOM,dance,bring,True,['dance'],['bring'],1,1,3.894853e-05,6.386233e-05,9.598252e-05,0.9997656,3.559749e-05,0.0036056214,7,11
2,PART_OF,3,RANDOM,dance,human,False,['dance'],['human'],1,1,0.00053918123,0.003622319,0.9952121,0.00048449062,0.0001419101,0.049266484,7,4
3,RANDOM,3,RANDOM,dance,idea,True,['dance'],['idea'],1,1,3.7773632e-05,6.4461216e-05,9.737968e-05,0.999767,3.3407487e-05,0.0035828943,7,5
3,RANDOM,3,RANDOM,dance,idle,True,['dance'],['idle'],1,1,0.23763493,0.00028151003,0.0014687775,0.75872076,0.0018939294,0.8291762,7,10
3,RANDOM,3,RANDOM,dance,lens,True,['dance'],['lens'],1,1,3.8173268e-05,6.965238e-05,9.786998e-05,0.9997607,3.3644894e-05,0.0036707944,7,5
3,RANDOM,3,RANDOM,dance,mark,True,['dance'],['mark'],1,1,4.0694253e-05,6.662819e-05,8.5828025e-05,0.9997739,3.28741e-05,0.0034929784,7,30
3,RANDOM,3,RANDOM,dance,transport,True,['dance'],['transport'],1,1,4.026443e-05,5.9347316e-05,9.262607e-05,0.9997737,3.4120523e-05,0.0034949412,7,11
3,RANDOM,3,RANDOM,dance,unknown,True,['dance'],['unknown'],1,1,4.1698408e-05,6.7475674e-05,9.03959e-05,0.99976844,3.194714e-05,0.0035669631,7,8
0,ANT,0,ANT,copy,original,True,['copy'],['original'],1,1,0.99787223,0.00030657407,0.00028397847,0.00017030009,0.0013669042,0.025128368,8,6
3,RANDOM,3,RANDOM,copy,busy,True,['copy'],['busy'],1,1,4.794192e-05,5.78563e-05,9.27144e-05,0.99977034,3.108311e-05,0.0035409594,8,6
3,RANDOM,3,RANDOM,copy,cattle,True,['copy'],['cattle'],1,1,4.7318354e-05,5.4098145e-05,9.464253e-05,0.9997732,3.072511e-05,0.003499376,8,1
3,RANDOM,3,RANDOM,copy,generous,True,['copy'],['generous'],1,1,4.8453945e-05,5.6510373e-05,8.2102226e-05,0.99978036,3.2507243e-05,0.003407544,8,3
3,RANDOM,3,RANDOM,copy,hand,True,['copy'],['hand'],1,1,6.49996e-05,5.5433036e-05,0.00012105494,0.999653,0.000105610765,0.00515859,8,16
3,RANDOM,3,RANDOM,copy,join,True,['copy'],['join'],1,1,0.0022050366,0.019958327,0.0011288947,0.960893,0.015814798,0.2931292,8,7
3,RANDOM,3,RANDOM,copy,joint,True,['copy'],['joint'],1,1,4.1988682e-05,5.639009e-05,7.856558e-05,0.99978286,4.0196963e-05,0.0033779119,8,13
3,RANDOM,3,RANDOM,copy,nose,True,['copy'],['nose'],1,1,4.5882054e-05,5.6246703e-05,8.783839e-05,0.9997775,3.2562846e-05,0.0034452914,8,14
3,RANDOM,3,RANDOM,copy,rent,True,['copy'],['rent'],1,1,4.8405658e-05,5.2228203e-05,8.675384e-05,0.999777,3.56391e-05,0.003455618,8,9
3,RANDOM,3,RANDOM,copy,south,True,['copy'],['south'],1,1,5.2492775e-05,5.4688946e-05,9.431397e-05,0.99976784,3.0668445e-05,0.0035765127,8,7
1,HYPER,1,HYPER,dollar,coin,True,['dollar'],['coin'],1,1,6.666107e-05,0.9989831,0.0003506078,0.0002964629,0.00030318147,0.013433299,4,3
1,HYPER,1,HYPER,dollar,money,True,['dollar'],['money'],1,1,7.088067e-05,0.99923277,0.00029793847,0.00025529347,0.00014319395,0.010448947,4,3
3,RANDOM,3,RANDOM,dollar,air,True,['dollar'],['air'],1,1,4.0201405e-05,6.661773e-05,9.5785e-05,0.9997675,2.9881672e-05,0.0035744484,4,15
3,RANDOM,3,RANDOM,dollar,build,True,['dollar'],['build'],1,1,4.0371095e-05,5.894616e-05,9.069577e-05,0.99977475,3.529456e-05,0.0034825045,4,12
3,RANDOM,3,RANDOM,dollar,communism,True,['dollar'],['communism'],1,1,3.899621e-05,6.146953e-05,9.7694494e-05,0.9997713,3.0524352e-05,0.0035202852,4,2
3,RANDOM,3,RANDOM,dollar,dictionary,True,['dollar'],['dictionary'],1,1,4.1710144e-05,6.114691e-05,0.000100016216,0.9997675,2.9631296e-05,0.0035728521,4,1
3,RANDOM,3,RANDOM,dollar,enjoy,True,['dollar'],['enjoy'],1,1,4.171865e-05,6.0597955e-05,8.849442e-05,0.99977773,3.1497402e-05,0.0034391067,4,5
3,RANDOM,3,RANDOM,dollar,event,True,['dollar'],['event'],1,1,3.823882e-05,6.962309e-05,0.000100842866,0.99975985,3.1504893e-05,0.0036789333,4,4
3,RANDOM,3,RANDOM,dollar,illness,True,['dollar'],['illness'],1,1,4.6551362e-05,5.9460937e-05,8.976587e-05,0.9997733,3.0870237e-05,0.003500902,4,1
3,RANDOM,3,RANDOM,dollar,player,True,['dollar'],['player'],1,1,3.7460264e-05,6.172262e-05,9.3556e-05,0.99977547,3.178472e-05,0.0034648795,4,5
0,ANT,0,ANT,sleep,awake,True,['sleep'],['awake'],1,1,0.99932635,0.00013240638,0.00017829244,0.00011731708,0.00024562297,0.009374752,6,3
0,ANT,0,ANT,sleep,awaken,True,['sleep'],"['awake', '##n']",1,2,0.9982699,0.00011747269,0.00041924146,0.00013527562,0.0010580507,0.020928042,6,3
0,ANT,0,ANT,sleep,wake,True,['sleep'],['wake'],1,1,0.9992144,0.00012289608,0.00018838828,0.00011498594,0.00035929235,0.010676449,6,9
0,ANT,1,HYPER,sleep,relax,False,['sleep'],['relax'],1,1,0.9913611,0.00011773151,0.0011374429,0.00018343101,0.0072003533,0.078597076,6,8
