pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12
2,event,Ġevent,2,event,Ġevent,turtle,live,True,['Ġturtle'],['Ġlive'],1,1,7.983371e-05,7.792359e-06,0.9968933,8.1761216e-05,6.319825e-05,0.0028739888,0.031949963,4,19,Ġevent,Ġrandom,Ġsubclass,Ġattribute,Ġpart,Ġevents,ĠEvent,Ġcoordinated,event,Event,Ġepisode,Ġwill
5,random,Ġrandom,5,random,Ġrandom,ant,experience,True,['Ġant'],['Ġexperience'],1,1,4.6917397e-05,5.9057413e-07,0.00023842942,5.861725e-06,0.00018665024,0.9995215,0.006660237,1,8,Ġrandom,Ġevent,Ġpart,Ġattribute,Ġsubclass,ĠRandom,random,Ġrandomly,Ġcoordinated,Ġunique,Ġspecific,Random
2,event,Ġevent,5,random,Ġrandom,fighter,start,False,['Ġfighter'],['Ġstart'],1,1,0.00014874474,1.2886142e-05,0.8539673,6.434094e-05,0.029219484,0.11658725,0.7078956,3,22,Ġevent,Ġrandom,Ġpart,Ġattribute,Ġevents,Ġsubclass,ĠEvent,Ġend,event,Ġshow,Ġstart,Ġcoordinated
5,random,Ġrandom,5,random,Ġrandom,chisel,temperature,True,"['Ġch', 'isel']",['Ġtemperature'],2,1,0.0020352553,5.0645663e-06,0.0014757344,2.1728827e-05,0.01795924,0.97850305,0.16732626,4,2,Ġrandom,Ġpart,Ġattribute,Ġevent,Ġsubclass,Ġarbitrary,ĠRandom,Ġcoordinated,Ġelement,Ġpoint,Ġunique,Ġspecific
3,hyper,Ġsubclass,3,hyper,Ġsubclass,knife,artifact,True,['Ġknife'],['Ġartifact'],1,1,1.7416013e-06,5.5878473e-07,3.0370416e-06,0.9999908,2.6969021e-06,1.1849197e-06,0.0001870544,4,1,Ġsubclass,Ġclass,Ġevent,Ġpart,Ġattribute,Ġrandom,Ġcoordinated,Ġcategory,Ġtype,ĠClass,Ġgroup,Ġunique
0,attri,Ġattribute,0,attri,Ġattribute,missile,short,True,['Ġmissile'],['Ġshort'],1,1,0.9125906,7.579854e-05,0.0020309587,0.00037773556,0.006112941,0.078811966,0.477757,2,23,Ġattribute,Ġrandom,Ġpart,Ġevent,Ġsubclass,Ġcoordinated,Ġpoint,Ġelement,Ġclass,Ġobject,Ġtype,Ġcoordinate
4,mero,Ġpart,4,mero,Ġpart,cathedral,transept,True,['Ġcathedral'],"['Ġtr', 'anse', 'pt']",1,3,8.209124e-06,7.793734e-05,4.8540394e-05,1.9048597e-05,0.9996413,0.00020492301,0.0052248603,3,1,Ġpart,Ġrandom,Ġcoordinated,Ġevent,ĠPart,Ġsubclass,Ġfull,Ġattribute,Ġcomplete,Ġportion,Ġwhole,Ġfront
0,attri,Ġattribute,0,attri,Ġattribute,lemon,sour,True,['Ġlemon'],['Ġsour'],1,1,0.9992099,8.495145e-06,0.00034416647,1.6235821e-05,3.53361e-05,0.00038591272,0.010398971,5,11,Ġattribute,Ġrandom,Ġevent,Ġpart,Ġsubclass,Ġcoordinated,Ġattributes,Ġassociated,Ġlabel,Ġelement,Ġcoordinate,Ġclass
5,random,Ġrandom,5,random,Ġrandom,robin,permanence,True,"['Ġrob', 'in']","['Ġperman', 'ence']",2,2,6.1688836e-05,1.9961315e-06,7.62755e-05,9.562772e-06,0.00047352837,0.99937695,0.008231543,2,1,Ġrandom,Ġpart,Ġevent,Ġattribute,Ġsubclass,ĠRandom,Ġcoordinated,Ġarbitrary,random,Ġrandomly,Ġodd,Ġunique
4,mero,Ġpart,4,mero,Ġpart,cathedral,stair,True,['Ġcathedral'],['Ġstair'],1,1,3.9811175e-06,8.719613e-05,0.00016423833,9.38871e-06,0.99951136,0.00022382555,0.006887622,3,1,Ġpart,Ġrandom,Ġevent,Ġcoordinated,ĠPart,Ġsubclass,Ġportion,Ġfront,Ġattribute,Ġcomponent,Ġsection,Ġmain
