pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12
2,event,event,2,event,event,turtle,live,True,['turtle'],['live'],1,1,9.37777e-05,1.9263462e-05,0.9941742,0.00016734845,0.00010258969,0.005442738,0.05433276,4,19,event,random,minor,part,attribute,events,coordinated,to,will,can,it,game
5,random,random,5,random,random,ant,experience,True,['ant'],['experience'],1,1,3.622071e-06,1.7462437e-06,1.9358682e-05,5.121934e-06,9.436054e-06,0.99996066,0.0007061656,1,8,random,event,part,minor,attribute,coordinated,randomly,.,frequent,select,accidental,wild
2,event,event,5,random,random,fighter,start,False,['fighter'],['start'],1,1,0.0005517029,0.000282238,0.8688616,0.0004487555,0.10743133,0.022424279,0.6591241,3,22,event,part,random,attribute,minor,coordinated,events,to,point,the,place,race
5,random,random,5,random,random,chisel,temperature,True,"['chi', '##sel']",['temperature'],2,1,6.7868023e-06,8.918144e-07,1.2513268e-05,1.6175322e-06,2.003562e-05,0.99995816,0.0007424172,4,2,random,part,event,attribute,minor,coordinated,randomly,frequent,select,the,high,an
3,hyper,minor,3,hyper,minor,knife,artifact,True,['knife'],['artifact'],1,1,9.3781455e-06,1.45348695e-05,1.9643485e-05,0.99991786,7.5051494e-06,3.1008134e-05,0.00140793,4,1,minor,random,event,coordinated,attribute,part,an,small,major,important,lesser,local
0,attri,attribute,0,attri,attribute,missile,short,True,['missile'],['short'],1,1,0.9748071,5.7932368e-05,0.0016395522,0.00020156194,0.00080598483,0.022487769,0.18574083,2,23,attribute,random,event,part,minor,coordinated,attributes,is,feature,:,element,-
4,mero,part,4,mero,part,cathedral,transept,True,['cathedral'],"['trans', '##ept']",1,2,6.593101e-05,0.000340136,7.637344e-05,1.3037551e-05,0.99920493,0.00029954666,0.0107434485,3,1,part,coordinated,random,event,attribute,minor,portion,parts,with,",",section,full
0,attri,attribute,0,attri,attribute,lemon,sour,True,['lemon'],['sour'],1,1,0.99948835,1.3030948e-06,5.1005893e-05,3.3276978e-05,1.6043014e-05,0.00041002937,0.006854899,5,11,attribute,random,event,minor,part,attributes,coordinated,point,:,is,",",-
5,random,random,5,random,random,robin,permanence,True,['robin'],"['per', '##man', '##ence']",1,3,6.3531315e-06,2.04281e-06,1.2805363e-05,5.2483133e-06,1.1226564e-05,0.99996233,0.00068741123,2,1,random,event,part,attribute,minor,coordinated,randomly,frequent,select,.,accidental,in
4,mero,part,4,mero,part,cathedral,stair,True,['cathedral'],['stair'],1,1,5.3684766e-06,0.00025588975,0.00014607771,5.0116023e-06,0.9995333,5.435886e-05,0.006539984,3,1,part,coordinated,event,random,portion,attribute,minor,with,section,parts,feature,the
