pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ant,hyper,part_of,random,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10
4,syn,Ġequivalent,1,hyper,Ġsubclass,coach,teach,False,['Ġcoach'],['Ġteach'],1,1,0.0023955924,0.08550902,5.617747e-06,0.00046402912,0.9116257,0.45114776,7,3,Ġequivalent,Ġsubclass,Ġcontrary,Ġrandom,Ġsimilar,Ġtype,Ġcan,Ġor,Ġclass,Ġequivalents
0,ant,Ġcontrary,1,hyper,Ġsubclass,coach,teacher,False,['Ġcoach'],['Ġteacher'],1,1,0.9907198,1.0085122e-05,2.2319591e-06,9.657458e-07,0.009266999,0.076141305,7,2,Ġcontrary,Ġequivalent,Ġsuperior,Ġopposite,Ġsubclass,Ġor,Ġand,",",Ġpart,Ġalternative
3,random,Ġrandom,3,random,Ġrandom,coach,coat,True,['Ġcoach'],['Ġcoat'],1,1,1.454066e-05,0.00012417346,1.0476145e-06,0.99962676,0.00023345737,0.005220603,7,6,Ġrandom,Ġequivalent,Ġsubclass,Ġcontrary,Ġspecific,Ġcustom,Ġfull,Ġspecial,Ġsnow,Ġextra
3,random,Ġrandom,3,random,Ġrandom,coach,dog,True,['Ġcoach'],['Ġdog'],1,1,2.0575268e-05,9.0383656e-07,1.8054377e-06,0.9999763,3.7030287e-07,0.00041488747,7,8,Ġrandom,Ġcontrary,Ġpart,random,Ġwild,Ġsubclass,ĠRandom,Ġequivalent,Ġtop,Ġarbitrary
3,random,Ġrandom,3,random,Ġrandom,coach,performance,True,['Ġcoach'],['Ġperformance'],1,1,2.0430393e-06,1.529432e-06,2.3819172e-08,0.999925,7.137504e-05,0.0011599874,7,5,Ġrandom,Ġequivalent,random,Ġcontrary,Ġsubclass,ĠRandom,Ġarbitrary,Ġaverage,Ġrecent,Random
3,random,Ġrandom,3,random,Ġrandom,coach,pit,True,['Ġcoach'],['Ġpit'],1,1,6.9120074e-07,1.0772073e-08,5.464407e-09,0.999997,2.2602321e-06,6.127053e-05,7,14,Ġrandom,ĠRandom,Ġequivalent,random,Ġrandomly,Ġcontrary,Random,Ġrandomized,Ġarbitrary,Ġsubclass
3,random,Ġrandom,3,random,Ġrandom,coach,rain,True,['Ġcoach'],['Ġrain'],1,1,1.0136548e-06,1.3396568e-09,1.0701255e-08,0.9999776,2.1304195e-05,0.00038327635,7,4,Ġrandom,Ġequivalent,random,Ġcontrary,ĠRandom,Random,Ġrecent,Ġunexpected,Ġrare,Ġunpredictable
3,random,Ġrandom,3,random,Ġrandom,coach,rear,True,['Ġcoach'],['Ġrear'],1,1,1.5585534e-05,2.8992892e-07,4.705739e-08,0.9999225,6.158017e-05,0.0012294512,7,11,Ġrandom,Ġequivalent,Ġcontrary,random,Ġsubclass,ĠRandom,Ġarbitrary,Ġopposite,Ġrandomly,Ġinconsistent
3,random,Ġrandom,3,random,Ġrandom,coach,ride,True,['Ġcoach'],['Ġride'],1,1,7.5620085e-07,0.04864523,4.7596978e-07,0.9509612,0.00039231355,0.28561795,7,16,Ġrandom,Ġsubclass,Ġequivalent,ĠRandom,Ġcontrary,Ġrandomized,Ġfree,Ġpart,Ġrandomly,Ġcasual
3,random,Ġrandom,3,random,Ġrandom,coach,side,True,['Ġcoach'],['Ġside'],1,1,1.5362255e-05,3.1482289e-06,7.1964027e-06,0.9999677,6.725252e-06,0.0005884636,7,14,Ġrandom,Ġcontrary,'s,Ġpart,Ġequivalent,Ġwild,Ġsubclass,Ġrandomly,Ġopposite,ĠRandom
