pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,COORD,HYPER,RANDOM,entropy,nsynsests_source,nsynsests_target
2,RANDOM,2,RANDOM,van,co-ordinate,True,['van'],"['co', '-', 'or', '##dina', '##te']",1,5,4.1243347e-05,0.00016762952,0.9997911,0.003004494,5,5
1,HYPER,1,HYPER,phone,good,True,['phone'],['good'],1,1,0.00012469318,0.98797274,0.011902494,0.0949518,4,27
1,HYPER,1,HYPER,orbital,circular,True,['orbital'],['circular'],1,1,0.0005632788,0.99876606,0.0006707313,0.014930053,2,3
0,COORD,1,HYPER,trumpet,horn,False,['trumpet'],['horn'],1,1,0.99983203,0.00012894292,3.8951785e-05,0.00247885,4,12
0,COORD,0,COORD,dishwasher,telephone,True,"['dish', '##wash', '##er']",['telephone'],3,1,0.9997197,0.00019297446,8.7357555e-05,0.003963347,2,3
1,HYPER,1,HYPER,evidence,argue,True,['evidence'],['argue'],1,1,0.00017912297,0.9986149,0.001205941,0.01591865,6,3
2,RANDOM,2,RANDOM,coconut,accumulate,True,['coconut'],['accumulate'],1,1,3.9650386e-05,0.00016776171,0.99979264,0.0029828628,3,2
2,RANDOM,2,RANDOM,coupling,fruit,True,['coupling'],['fruit'],1,1,3.2859218e-05,0.00021111492,0.99975604,0.0034189497,7,5
0,COORD,0,COORD,hatchet,spear,True,"['hatch', '##et']",['spear'],2,1,0.99975723,0.00019284096,4.9924372e-05,0.0034433298,2,4
1,HYPER,2,RANDOM,hospital,place,False,['hospital'],['place'],1,1,0.00013504946,0.9922214,0.00764347,0.066659726,2,32
1,HYPER,1,HYPER,hate,dislike,True,['hate'],['dislike'],1,1,0.00054624677,0.9987515,0.00070221734,0.015076558,2,3
1,HYPER,1,HYPER,crystal,rock,True,['crystal'],['rock'],1,1,0.00029537643,0.99871933,0.0009852536,0.015149703,6,9
1,HYPER,1,HYPER,normative,appropriate,True,"['norma', '##tive']",['appropriate'],2,1,0.0005055977,0.9989177,0.00057672855,0.013302235,2,3
1,HYPER,2,RANDOM,dress,uniform,False,['dress'],['uniform'],1,1,0.002619619,0.99655426,0.0008260956,0.035889935,21,6
2,RANDOM,2,RANDOM,pine,hint,True,['pine'],['hint'],1,1,3.1718384e-05,0.00022203554,0.99974626,0.0035348563,3,6
1,HYPER,1,HYPER,cut,free,True,['cut'],['free'],1,1,9.996944e-05,0.9842398,0.015660208,0.11779582,70,22
0,COORD,0,COORD,fridge,washer,True,['fridge'],"['wash', '##er']",1,2,0.9996667,0.00022173412,0.000111498324,0.004636352,1,3
0,COORD,0,COORD,grasshopper,cricket,True,"['grass', '##hopper']",['cricket'],2,1,0.9997899,0.0001824066,2.7823355e-05,0.0029899105,2,3
0,COORD,0,COORD,donkey,bull,True,['donkey'],['bull'],1,1,0.99988294,9.419726e-05,2.2842309e-05,0.0017807622,2,15
0,COORD,0,COORD,cow,beaver,True,['cow'],['beaver'],1,1,0.9998822,9.424688e-05,2.3448833e-05,0.001790765,4,8
