pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target
2,event,2,event,turtle,live,True,['Ġturtle'],['Ġlive'],1,1,9.481155e-05,7.046763e-05,0.9994537,9.689568e-05,6.981298e-05,0.00021437732,0.0078956345,4,19
5,random,5,random,ant,experience,True,['Ġant'],['Ġexperience'],1,1,3.0261008e-05,2.5734897e-05,2.7759475e-05,2.1401085e-05,7.5536125e-05,0.99981934,0.0028936868,1,8
2,event,5,random,fighter,start,False,['Ġfighter'],['Ġstart'],1,1,6.094755e-05,5.735215e-05,0.996833,6.0354396e-05,0.00059747405,0.0023907877,0.03428709,3,22
5,random,5,random,chisel,temperature,True,"['Ġch', 'isel']",['Ġtemperature'],2,1,2.804046e-05,2.6221116e-05,2.7273527e-05,2.1858288e-05,8.838047e-05,0.99980825,0.0030417428,4,2
3,hyper,3,hyper,knife,artifact,True,['Ġknife'],['Ġartifact'],1,1,0.00014175942,0.00013217716,0.00017264225,0.9994141,7.531953e-05,6.406444e-05,0.008442535,4,1
0,attri,0,attri,missile,short,True,['Ġmissile'],['Ġshort'],1,1,0.9994481,5.012607e-05,0.00010795175,6.9885726e-05,6.710079e-05,0.00025675184,0.007891761,2,23
4,mero,4,mero,cathedral,transept,True,['Ġcathedral'],"['Ġtr', 'anse', 'pt']",1,3,8.878171e-05,8.544798e-05,0.00015760897,5.9546754e-05,0.9988815,0.0007270441,0.014368895,3,1
0,attri,0,attri,lemon,sour,True,['Ġlemon'],['Ġsour'],1,1,0.9994056,5.2996034e-05,0.0003204237,8.615915e-05,4.578148e-05,8.8994144e-05,0.008350195,5,11
5,random,5,random,robin,permanence,True,"['Ġrob', 'in']","['Ġperman', 'ence']",2,2,3.3282457e-05,2.6617816e-05,2.2578766e-05,2.3826631e-05,7.672283e-05,0.99981695,0.0029268481,2,1
4,mero,4,mero,cathedral,stair,True,['Ġcathedral'],['Ġstair'],1,1,5.796995e-05,8.56791e-05,0.0003941919,6.304153e-05,0.9988857,0.0005133988,0.014527816,3,1
4,mero,4,mero,goose,plumage,True,['Ġgoose'],"['Ġplum', 'age']",1,2,7.962139e-05,9.731964e-05,8.7248074e-05,0.00011253631,0.99904865,0.00057461456,0.012591369,6,1
4,mero,4,mero,battleship,deck,True,"['Ġbattles', 'hip']",['Ġdeck'],2,1,9.1448375e-05,7.011169e-05,0.00022539667,5.495897e-05,0.99867344,0.0008846469,0.016588133,1,7
5,random,2,event,bed,prepare,False,['Ġbed'],['Ġprepare'],1,1,2.6064366e-05,2.8013803e-05,3.570791e-05,2.2871876e-05,7.0813745e-05,0.9998166,0.0029416387,13,8
1,coord,1,coord,library,pub,True,['Ġlibrary'],['Ġpub'],1,1,7.1454684e-05,0.99924845,0.00034368775,0.00014156706,0.00017521306,1.9614876e-05,0.0103259105,5,1
4,mero,4,mero,villa,floor,True,"['Ġvill', 'a']",['Ġfloor'],2,1,0.0001050728,5.1951254e-05,0.00029206995,5.3663174e-05,0.99838305,0.0011142845,0.019580446,4,12
1,coord,1,coord,corn,onion,True,['Ġcorn'],['Ġonion'],1,1,4.8403963e-05,0.9996419,0.00012676064,9.305183e-05,6.409236e-05,2.5797897e-05,0.0053834924,9,3
3,hyper,3,hyper,battleship,artefact,True,"['Ġbattles', 'hip']","['Ġarte', 'fact']",2,2,0.00013296628,0.00012216774,0.00013546394,0.9994413,7.4965275e-05,9.316216e-05,0.008121541,1,1
5,random,5,random,dresser,possible,True,"['Ġdress', 'er']",['Ġpossible'],2,1,2.690764e-05,2.9372357e-05,2.1639278e-05,2.4408177e-05,0.000100151796,0.9997975,0.0031826706,5,4
5,random,5,random,ant,very,True,['Ġant'],['Ġvery'],1,1,4.3550306e-05,2.9342766e-05,1.86753e-05,2.6381165e-05,7.489244e-05,0.9998072,0.0030718795,1,4
2,event,2,event,desk,work,True,['Ġdesk'],['Ġwork'],1,1,5.243945e-05,6.548952e-05,0.9994363,9.544684e-05,0.00012013221,0.00023017074,0.008089619,1,34
5,random,5,random,glove,pest,True,['Ġglove'],['Ġpest'],1,1,2.9080238e-05,2.8866514e-05,2.390887e-05,2.4674948e-05,7.6494296e-05,0.99981695,0.0029283424,3,4
5,random,5,random,radish,vinyl,True,"['Ġrad', 'ish']",['Ġvinyl'],2,1,2.9008457e-05,2.9798275e-05,2.4631747e-05,2.0976944e-05,8.199275e-05,0.9998136,0.0029701893,5,2
2,event,1,coord,cockroach,fly,False,"['Ġcock', 'roach']",['Ġfly'],2,1,6.0007605e-05,0.0017276012,0.9973195,0.0004741769,0.00030763194,0.00011107052,0.030841678,1,20
1,coord,2,event,sofa,couch,False,['Ġsofa'],['Ġcouch'],1,1,5.558644e-05,0.98726904,0.011405478,0.0004423759,0.00076257356,6.4986576e-05,0.106378704,1,4
2,event,2,event,rat,live,True,['Ġrat'],['Ġlive'],1,1,0.00011222417,7.4110176e-05,0.9994771,9.620404e-05,6.705315e-05,0.00017332623,0.007622451,11,19
2,event,2,event,chisel,produce,True,"['Ġch', 'isel']",['Ġproduce'],2,1,0.00013946055,4.5621444e-05,0.99919325,0.00016364394,8.963519e-05,0.00036824137,0.011071137,4,8
5,random,5,random,piano,afford,True,['Ġpiano'],['Ġafford'],1,1,8.9625784e-05,5.2798034e-05,0.0033886668,5.5195207e-05,8.466748e-05,0.996329,0.03697195,4,4
1,coord,1,coord,tiger,elephant,True,['Ġtiger'],['Ġelephant'],1,1,5.6001874e-05,0.9997068,6.923101e-05,8.687101e-05,4.5684083e-05,3.539031e-05,0.004524477,2,2
5,random,5,random,pigeon,blend,True,['Ġpigeon'],['Ġblend'],1,1,3.092162e-05,2.7214683e-05,2.364694e-05,2.3430228e-05,8.920858e-05,0.9998056,0.003080213,1,6
5,random,5,random,coconut,pls,True,['Ġcoconut'],"['Ġpl', 's']",1,2,2.7093965e-05,3.1681553e-05,2.4241564e-05,2.6914824e-05,9.4546034e-05,0.9997955,0.0032238055,3,0
2,event,2,event,robe,hang,True,['Ġrobe'],['Ġhang'],1,1,7.531019e-05,6.0344122e-05,0.9993636,9.726448e-05,7.636335e-05,0.00032714973,0.008923533,4,18
4,mero,4,mero,glove,leather,True,['Ġglove'],['Ġleather'],1,1,0.00011041184,0.00013952974,0.00022188225,6.020779e-05,0.99918276,0.00028518433,0.011312428,3,2
4,mero,4,mero,cathedral,window,True,['Ġcathedral'],['Ġwindow'],1,1,0.00010661502,9.350046e-05,0.00011899665,6.625713e-05,0.998978,0.00063662004,0.013362203,3,8
2,event,2,event,turtle,lay,True,['Ġturtle'],['Ġlay'],1,1,9.372029e-05,7.731943e-05,0.9994797,8.643656e-05,7.8769335e-05,0.00018412614,0.0075857434,4,16
5,random,5,random,saw,countryside,True,['Ġsaw'],['Ġcountryside'],1,1,2.9163411e-05,2.7222513e-05,3.4962333e-05,2.1351123e-05,6.493577e-05,0.99982244,0.0028606465,28,1
5,random,5,random,cello,organise,True,"['Ġcell', 'o']",['Ġorganise'],2,1,2.102068e-05,2.5482343e-05,6.477506e-05,2.4440547e-05,7.27896e-05,0.99979156,0.0032926223,1,6
5,random,5,random,woodpecker,grove,True,"['Ġwood', 'pe', 'cker']","['Ġgro', 've']",3,2,2.1506226e-05,3.7433914e-05,4.0041865e-05,2.9811235e-05,9.8579236e-05,0.9997726,0.0035569882,1,2
5,random,5,random,trumpet,in-house,True,['Ġtrumpet'],"['Ġin', '-', 'house']",1,3,2.4102648e-05,3.155012e-05,4.0424013e-05,2.3828024e-05,6.946692e-05,0.99981064,0.0030301115,4,0
5,random,5,random,grenade,glucose,True,['Ġgrenade'],['Ġglucose'],1,1,3.7012443e-05,2.949896e-05,2.4539744e-05,2.2362301e-05,8.149244e-05,0.99980515,0.0030980806,1,1
5,random,5,random,saw,assure,True,['Ġsaw'],['Ġassure'],1,1,2.6880423e-05,2.6451165e-05,2.5177156e-05,2.2667471e-05,8.815676e-05,0.99981064,0.0030052504,28,6
4,mero,4,mero,scarf,cashmere,True,['Ġscarf'],"['Ġcash', 'mere']",1,2,0.0006708346,0.0010681489,5.8232974e-05,0.00016118804,0.9969451,0.0010964205,0.03564671,5,3
5,random,5,random,rifle,question,True,['Ġrifle'],['Ġquestion'],1,1,2.433771e-05,3.1059048e-05,3.1513664e-05,2.1846707e-05,8.754397e-05,0.9998037,0.0031107906,3,11
5,random,5,random,van,reservoir,True,['Ġvan'],['Ġreservoir'],1,1,3.2392694e-05,2.8982095e-05,2.1538157e-05,2.1890315e-05,9.623466e-05,0.99979895,0.0031668288,5,4
4,mero,4,mero,bull,tail,True,['Ġbull'],['Ġtail'],1,1,8.424838e-05,8.552965e-05,0.00011846169,7.484486e-05,0.9988642,0.0007727569,0.014493262,15,11
4,mero,4,mero,saw,steel,True,['Ġsaw'],['Ġsteel'],1,1,7.990975e-05,9.144144e-05,0.00021312457,6.743748e-05,0.99921787,0.00033023517,0.010795062,28,5
0,attri,0,attri,cannon,deadly,True,['Ġcannon'],['Ġdeadly'],1,1,0.99958116,5.358363e-05,0.000118607,8.327355e-05,5.5787546e-05,0.000107627595,0.0062466636,8,8
4,mero,2,event,frigate,anchor,False,"['Ġfr', 'igate']",['Ġanchor'],2,1,8.681488e-05,0.0001877857,0.011780567,0.00013147353,0.9863484,0.0014649661,0.11402684,2,5
2,event,2,event,castle,host,True,['Ġcastle'],['Ġhost'],1,1,5.643814e-05,0.00020209463,0.9986966,0.0007538158,0.00023059337,6.0303217e-05,0.016606845,5,11
