pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ant,hyper,part_of,random,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10
4,syn,synonym,1,hyper,minor,coach,teach,False,['coach'],['teach'],1,1,0.05365258,0.0030966252,0.00015441909,1.3352693e-05,0.9430831,0.3341384,7,3,synonym,contrary,minor,part,complement,equivalent,follower,complementary,opposite,random
4,syn,synonym,1,hyper,minor,coach,teacher,False,['coach'],['teacher'],1,1,3.0386926e-07,0.082532875,8.2493955e-07,7.093439e-09,0.91746587,0.41106662,7,2,synonym,minor,type,kind,sort,equivalent,major,rank,part,abbreviation
3,random,random,3,random,random,coach,coat,True,['coach'],['coat'],1,1,3.5722217e-11,6.852491e-11,9.698645e-11,1.0,4.685903e-09,1.3643391e-07,7,6,random,randomly,synonym,anonymous,strange,wild,hot,coat,suspicious,novel
3,random,random,3,random,random,coach,dog,True,['coach'],['dog'],1,1,1.4398843e-08,4.794664e-10,3.258236e-09,1.0,1.4057241e-09,5.2312254e-07,7,8,random,randomly,coach,contrary,part,hot,suspicious,synonym,strange,crazy
3,random,random,3,random,random,coach,performance,True,['coach'],['performance'],1,1,7.024771e-10,1.6726094e-08,1.757379e-08,1.0,7.558104e-09,1.1100993e-06,7,5,random,part,minor,driver,variable,synonym,statistical,coach,randomly,subjective
3,random,random,3,random,random,coach,pit,True,['coach'],['pit'],1,1,5.35406e-10,1.593804e-11,2.4403465e-10,1.0,1.0409613e-10,2.8305992e-08,7,14,random,randomly,pit,contrary,coach,statistical,unfortunate,part,regular,crowd
3,random,random,3,random,random,coach,rain,True,['coach'],['rain'],1,1,2.9003028e-12,6.8984837e-14,5.946417e-12,1.0,4.759377e-13,3.5540648e-10,7,4,random,randomly,rain,chaos,chaotic,statistical,wild,crowd,part,strange
3,random,random,3,random,random,coach,rear,True,['coach'],['rear'],1,1,1.9013207e-09,3.7075598e-10,8.493037e-10,1.0,2.0354587e-09,1.5105711e-07,7,11,random,randomly,synonym,contrary,coach,rear,part,anonymous,wild,minor
1,hyper,minor,3,random,random,coach,ride,False,['coach'],['ride'],1,1,2.2668678e-06,0.9912662,6.9406145e-05,0.007840663,0.00082142296,0.076809466,7,16,minor,random,synonym,kind,mode,type,small,form,part,short
3,random,random,3,random,random,coach,side,True,['coach'],['side'],1,1,2.8817091e-08,1.13251275e-08,7.0860466e-08,0.9999999,9.13786e-09,3.033752e-06,7,14,random,randomly,coach,part,contrary,side,minor,synonym,coaching,statistical
1,hyper,minor,1,hyper,minor,dance,move,True,['dance'],['move'],1,1,2.039855e-10,0.9999989,1.5760493e-10,5.0007447e-09,1.0770729e-06,2.3049815e-05,7,21,minor,synonym,lesser,major,random,little,mild,small,minors,slow
3,random,random,3,random,random,dance,bring,True,['dance'],['bring'],1,1,3.4481517e-12,1.2558676e-12,5.294303e-12,1.0,2.9389269e-12,4.9184806e-10,7,11,random,randomly,bring,wild,rhythm,chance,lottery,spontaneous,rhythmic,strange
2,part_of,part,3,random,random,dance,human,False,['dance'],['human'],1,1,4.8530846e-09,4.6527148e-05,0.942533,0.05742047,1.6942872e-08,0.31785217,7,4,part,random,minor,characteristic,attribute,activity,signature,property,parts,extension
3,random,random,3,random,random,dance,idea,True,['dance'],['idea'],1,1,5.3831635e-13,1.0720247e-12,5.281031e-12,1.0,1.0243376e-11,6.363563e-10,7,5,random,randomly,memory,rhythm,chance,wild,spontaneous,synonym,time,dancing
