pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12
2,event,event,2,event,event,turtle,live,True,['turtle'],['live'],1,1,3.674743e-05,6.2041454e-06,0.9996555,4.246943e-05,1.4793707e-05,0.0002444469,0.004932874,4,19,event,random,minor,attribute,part,coordinated,process,season,act,time,purpose,step
5,random,random,5,random,random,ant,experience,True,['ant'],['experience'],1,1,6.282495e-07,1.3251538e-08,0.00017611864,4.1955377e-07,1.783703e-06,0.999821,0.0025108545,1,8,random,event,part,attribute,minor,randomly,participant,computer,individual,person,outcome,field
5,random,random,5,random,random,fighter,start,True,['fighter'],['start'],1,1,1.2407783e-05,2.791766e-06,0.16946644,9.182589e-06,0.00037618767,0.830133,0.6616403,3,22,random,event,part,attribute,point,minor,end,sequence,spot,date,probability,coordinated
5,random,random,5,random,random,chisel,temperature,True,"['chi', '##sel']",['temperature'],2,1,2.3616283e-05,5.8988337e-07,0.00028720108,6.709508e-07,5.5072396e-05,0.99963284,0.005076758,4,2,random,event,part,attribute,constant,parameter,function,variable,minor,measure,coordinated,angle
3,hyper,minor,3,hyper,minor,knife,artifact,True,['knife'],['artifact'],1,1,2.1968675e-07,1.4478081e-07,9.010452e-06,0.9999839,3.708487e-08,6.6716175e-06,0.00029800486,4,1,minor,event,random,major,important,small,common,other,lesser,national,social,significant
0,attri,attribute,0,attri,attribute,missile,short,True,['missile'],['short'],1,1,0.95997345,6.4820944e-07,0.00025603414,2.4268038e-05,2.196281e-05,0.03972363,0.24522293,2,23,attribute,random,event,characteristic,minor,property,part,attributes,measure,feature,element,variable
4,mero,part,4,mero,part,cathedral,transept,True,['cathedral'],"['trans', '##ept']",1,2,4.5560932e-07,1.7746185e-06,4.1829964e-05,2.8450477e-06,0.9998275,0.00012550958,0.002579767,3,1,part,random,event,section,portion,minor,end,parts,coordinated,length,half,split
0,attri,attribute,0,attri,attribute,lemon,sour,True,['lemon'],['sour'],1,1,0.9998554,7.262913e-07,9.2858914e-05,2.3252396e-05,4.8012644e-06,2.2975275e-05,0.0022639944,5,11,attribute,event,minor,random,part,attributes,property,aspect,category,element,characteristic,coordinated
5,random,random,5,random,random,robin,permanence,True,['robin'],"['per', '##man', '##ence']",1,3,1.5586812e-06,1.2366571e-08,1.2948301e-05,1.8637882e-06,4.7682656e-07,0.9999831,0.00031037058,2,1,random,event,minor,attribute,part,randomly,robin,probability,entropy,parameter,variable,constant
4,mero,part,4,mero,part,cathedral,stair,True,['cathedral'],['stair'],1,1,1.5482449e-06,1.0982438e-06,0.00014995533,2.7563017e-06,0.99977857,6.609443e-05,0.00324459,3,1,part,event,random,section,portion,minor,parts,attribute,one,coordinated,point,end
4,mero,part,4,mero,part,goose,plumage,True,['goose'],['plumage'],1,1,3.7406423e-06,1.02958786e-07,7.0567556e-05,1.2785806e-05,0.99980813,0.0001047539,0.0029127048,6,1,part,random,event,minor,parts,section,portion,attribute,volume,aspect,component,the
4,mero,part,4,mero,part,battleship,deck,True,['battleship'],['deck'],1,1,9.805316e-06,8.889249e-07,0.0034725654,2.7805912e-05,0.99584985,0.00063917326,0.04172966,1,7,part,event,random,section,minor,portion,volume,area,attribute,point,aspect,parts
2,event,event,2,event,event,bed,prepare,True,['bed'],['prepare'],1,1,1.2001399e-05,8.841808e-05,0.9774015,1.7501327e-05,3.074011e-05,0.022449842,0.1573168,13,8,event,random,coordinated,part,minor,attribute,process,computer,time,order,step,pattern
1,coord,coordinated,1,coord,coordinated,library,pub,True,['library'],['pub'],1,1,5.9410804e-06,0.9986394,0.00035001236,0.00089958747,0.0001028434,2.088983e-06,0.016587134,5,1,coordinated,minor,event,part,coordination,coordinate,similar,separate,twin,equivalent,coordinating,partner
4,mero,part,4,mero,part,villa,floor,True,['villa'],['floor'],1,1,8.611213e-06,2.4199958e-06,0.00074571476,1.7542216e-05,0.9950577,0.0041680066,0.0482811,4,12,part,random,event,minor,section,attribute,parts,portion,volume,number,unit,half
1,coord,coordinated,1,coord,coordinated,corn,onion,True,['corn'],['onion'],1,1,1.0354993e-06,0.99977344,0.00022030692,1.8765586e-06,2.6034609e-06,6.308059e-07,0.0031204657,9,3,coordinated,event,coordination,part,minor,attribute,coordinate,random,twin,relative,and,equivalent
3,hyper,minor,3,hyper,minor,battleship,artefact,True,['battleship'],"['arte', '##fa', '##ct']",1,3,7.975727e-07,1.7671686e-06,2.8898101e-05,0.998719,9.835043e-07,0.0012486564,0.014396211,1,1,minor,random,event,major,important,national,small,local,key,other,natural,an
5,random,random,5,random,random,dresser,possible,True,['dresser'],['possible'],1,1,2.8383627e-06,1.06283146e-07,1.29220525e-05,8.333434e-06,2.3387211e-07,0.99997556,0.00044562973,5,4,random,event,minor,attribute,randomly,part,probability,coordinated,pick,least,other,computer
5,random,random,5,random,random,ant,very,True,['ant'],['very'],1,1,3.3918677e-05,4.207787e-07,8.668123e-05,9.147242e-06,3.8736252e-06,0.9998658,0.0020982358,1,4,random,event,attribute,minor,part,average,coordinated,randomly,probability,parameter,constant,variable
2,event,event,2,event,event,desk,work,True,['desk'],['work'],1,1,0.00020829716,5.253685e-05,0.9988167,0.00042409726,0.00014138894,0.00035713965,0.015649661,1,34,event,minor,random,attribute,part,coordinated,activity,and,act,function,process,social
