pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
2,hyp,Ġsubclass,4,no-rel,Ġrandom,advance,take,1.42,False,['Ġadvance'],['Ġtake'],1,1,48.99244,53.35902,56.965607,50.278,52.87615,51.288483,51.95113,0.00032645205,0.025715882,0.94737524,0.0011806776,0.015866926,0.003243235,0.006291619,0.3926351,20,44,Ġsubclass,Ġcoordinated,Ġrandom,Ġequivalent,Ġmajor,Ġpart,Ġcoordinate,Ġcontrary,Ġsubset,Ġvariant,Ġgroup,Ġunrelated,Ġdirect,Ġrelated
1,cohyp,Ġcoordinated,2,hyp,Ġsubclass,aura,light,3.69,False,['Ġaura'],['Ġlight'],1,1,52.2981,57.514915,56.75841,53.174046,56.108635,51.626522,55.495647,0.0029034328,0.5352371,0.25118902,0.006971566,0.13116148,0.0014833697,0.07105411,1.727111,3,47,Ġcoordinated,Ġsubclass,Ġrandom,Ġequivalent,Ġpart,Ġcontrary,Ġmajor,Ġcoordinate,Ġof,Ġor,Ġsynchronized,Ġsimilar,Ġcoordination,Ġcomponent
4,no-rel,Ġrandom,4,no-rel,Ġrandom,tusk,duty,0.08,True,"['Ġt', 'usk']",['Ġduty'],2,1,51.1988,54.5014,55.979847,51.005085,58.88404,52.72143,54.38387,0.00042499197,0.011552663,0.05067146,0.0003501481,0.9247808,0.0019482814,0.010271624,0.4908697,4,3,Ġrandom,Ġsubclass,Ġcoordinated,Ġequivalent,Ġmajor,Ġcontrary,Ġpart,random,Ġarbitrary,Ġcoordinate,Ġrandomized,ĠRandom,Ġunrelated,Ġspecific
2,hyp,Ġsubclass,2,hyp,Ġsubclass,place,area,4.77,True,['Ġplace'],['Ġarea'],1,1,51.369198,56.88633,60.07916,53.50622,53.485844,54.857258,57.201736,0.00014917247,0.03713202,0.9044335,0.0012641143,0.0012386148,0.004881282,0.050901197,0.58967453,32,6,Ġsubclass,Ġequivalent,Ġcoordinated,Ġmajor,Ġpart,Ġrandom,Ġcoordinate,Ġcontrary,Ġor,Ġrelated,Ġsimilar,Ġcode,Ġcomparable,Ġspecific
5,r-hyp,Ġmajor,5,r-hyp,Ġmajor,material,leather,1.64,True,['Ġmaterial'],['Ġleather'],1,1,50.717266,54.11491,50.935986,54.291576,53.87791,60.538143,54.881145,5.385056e-05,0.0016097865,6.701606e-05,0.0019208501,0.0012701082,0.9916147,0.0034636983,0.08654023,11,2,Ġmajor,Ġequivalent,Ġpart,Ġcoordinated,Ġrandom,major,ĠMajor,Ġsubclass,Ġsignificant,Ġminor,Ġcontrary,Ġmain,:,Ġcomparable
2,hyp,Ġsubclass,2,hyp,Ġsubclass,add,calculate,5.23,True,['Ġadd'],['Ġcalculate'],1,1,50.963528,54.74508,57.558525,51.766933,54.443413,54.59828,55.923935,0.0010085274,0.044258285,0.73766416,0.0022521764,0.03273276,0.038215663,0.14386834,1.2966069,7,6,Ġsubclass,Ġequivalent,Ġcoordinated,Ġmajor,Ġrandom,Ġpart,Ġcontrary,Ġcoordinate,Ġor,Ġsimilar,Ġother,Ġrelated,Ġrandomly,Ġcomparable
5,r-hyp,Ġmajor,5,r-hyp,Ġmajor,toy,doll,2.1,True,['Ġtoy'],['Ġdoll'],1,1,49.359146,54.885376,51.63109,52.63419,52.31816,56.756012,54.67338,0.0004669208,0.11728821,0.0045283,0.012347429,0.009001752,0.7614848,0.09488257,1.1642509,8,2,Ġmajor,Ġcoordinated,Ġequivalent,Ġpart,Ġrandom,Ġsubclass,Ġcomparable,Ġcontrary,Ġsimilar,Ġlarge,Ġmain,major,Ġsignificant,Ġcoordinate
2,hyp,Ġsubclass,2,hyp,Ġsubclass,instruct,inform,4.31,True,['Ġinstruct'],['Ġinform'],1,1,50.65496,54.035347,57.345306,51.103294,50.313465,52.594864,55.126133,0.0010733341,0.031536836,0.8636051,0.0016805205,0.0007628257,0.0074683423,0.09387294,0.74711174,3,3,Ġsubclass,Ġequivalent,Ġcoordinated,Ġmajor,Ġpart,Ġcontrary,Ġrandom,Ġcoordinate,Ġcomparable,Ġsimilar,Ġclass,Ġor,Ġrelated,Ġanalogous
6,syn,Ġequivalent,1,cohyp,Ġcoordinated,jug,jar,2.4,False,['Ġjug'],['Ġjar'],1,1,50.444317,58.258133,56.849873,54.50378,53.26129,52.125454,58.770084,0.00013717987,0.3394592,0.08302099,0.0079486435,0.002294494,0.0007368837,0.5664027,1.3766835,4,8,Ġequivalent,Ġcoordinated,Ġsubclass,Ġpart,Ġrandom,Ġsimilar,Ġor,Ġmajor,Ġcoordinate,Ġcomparable,Ġcorresponding,Ġcoordination,Ġmodified,Ġcontrary
2,hyp,Ġsubclass,6,syn,Ġequivalent,flower,bloom,2.45,False,['Ġflower'],['Ġbloom'],1,1,51.946976,57.78558,59.215797,55.84947,53.31025,56.568073,58.817947,0.0003450556,0.1184575,0.49510607,0.017089134,0.0013488116,0.035059545,0.33259383,1.6815404,4,7,Ġsubclass,Ġequivalent,Ġcoordinated,Ġmajor,Ġpart,Ġrandom,Ġcoordinate,Ġcontrary,Ġsimilar,Ġmain,Ġrelated,Ġor,Ġcomparable,Ġcoordination
2,hyp,Ġsubclass,5,r-hyp,Ġmajor,say,claim,2.1,False,['Ġsay'],['Ġclaim'],1,1,51.56065,53.391026,56.32904,52.198692,53.105137,55.199192,55.343235,0.004683621,0.029208133,0.55140096,0.008865028,0.021945423,0.17814784,0.20574895,1.752751,12,11,Ġsubclass,Ġequivalent,Ġmajor,Ġcoordinated,Ġrandom,Ġpart,Ġcontrary,major,Ġsimilar,Ġrelated,Ġcomparable,Ġcoordinate,Ġmain,Ġdifferent
4,no-rel,Ġrandom,4,no-rel,Ġrandom,symptom,orchid,0.08,True,['Ġsymptom'],"['Ġor', 'chid']",1,2,51.13597,55.31195,52.450344,52.17339,58.559814,56.207397,53.419304,0.00052156154,0.033955522,0.0019414691,0.0014718061,0.87385577,0.083137706,0.0051161633,0.70999354,2,1,Ġrandom,Ġmajor,Ġcoordinated,Ġequivalent,Ġsubclass,Ġpart,Ġcontrary,major,Ġsporadic,Ġunrelated,Ġrandomized,Ġminor,Ġmassive,Ġsimilar
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,sitting,standing,0.15,True,['Ġsitting'],['Ġstanding'],1,1,56.932907,57.71668,53.69271,54.406075,51.143253,51.70297,54.998642,0.2888732,0.63255006,0.011311181,0.02308436,0.00088367506,0.001546585,0.04175097,1.3488271,16,21,Ġcoordinated,Ġcontrary,Ġequivalent,Ġpart,Ġsubclass,Ġmajor,Ġor,Ġcoordinate,Ġrandom,Ġcoordinating,Ġsynchronized,Ġand,Ġcomplement,Ġindependent
2,hyp,Ġsubclass,6,syn,Ġequivalent,infant,baby,3.75,False,['Ġinfant'],['Ġbaby'],1,1,49.519875,56.39588,57.320484,53.215168,51.69381,54.53707,54.01774,0.0002701459,0.26170397,0.65972066,0.010875368,0.002375343,0.04078864,0.024265865,1.3153137,1,8,Ġsubclass,Ġcoordinated,Ġmajor,Ġequivalent,Ġpart,Ġrandom,Ġcontrary,Ġminor,Ġor,Ġcomparable,Ġcoordinate,Ġunrelated,Ġsimilar,Ġmodified
2,hyp,Ġsubclass,3,mero,Ġpart,nucleus,cell,1.23,False,['Ġnucleus'],['Ġcell'],1,1,49.296803,55.835777,59.329136,56.32223,53.17298,53.60024,56.227234,3.889102e-05,0.026896141,0.88478214,0.043747604,0.0018760843,0.0028761262,0.03978299,0.7209668,6,7,Ġsubclass,Ġpart,Ġequivalent,Ġcoordinated,Ġmajor,Ġrandom,Ġcoordinate,Ġof,Ġsimilar,Ġrelated,Ġseparate,Ġcomponent,Ġspecific,Ġtype
