pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,Antonym,HasA,HasProperty,IsA,MadeOf,PartOf,Synonym,entropy,nsynsests_source,nsynsests_target
1,HasA,1,HasA,lobby,wall,True,['Ġlobby'],['Ġwall'],1,1,0.025118222,0.8845136,0.0033333807,0.019152313,0.035559297,0.022112623,0.010210534,0.78711987,4,9
3,IsA,3,IsA,call,order,True,['Ġcall'],['Ġorder'],1,1,0.020701684,0.0065808217,0.008579245,0.7993137,0.00713454,0.009263901,0.14842612,1.0026511,41,24
6,Synonym,3,IsA,keep,store,False,['Ġkeep'],['Ġstore'],1,1,0.024594264,0.0014915699,0.013950736,0.250926,0.00392733,0.005974915,0.6991352,1.1685001,25,6
6,Synonym,6,Synonym,see,view,True,['Ġsee'],['Ġview'],1,1,0.021405518,0.0039179353,0.013670998,0.21449691,0.006050073,0.015496556,0.724962,1.1852359,25,13
6,Synonym,0,Antonym,brake,pedal,False,['Ġbrake'],['Ġpedal'],1,1,0.09907642,0.12861492,0.008848211,0.21708514,0.035273604,0.10360359,0.4074982,2.2865791,7,5
3,IsA,3,IsA,lake,place,True,['Ġlake'],['Ġplace'],1,1,0.006846784,0.0026804886,0.0093191685,0.9728074,0.0023631295,0.0022321732,0.0037508318,0.24419092,3,32
0,Antonym,0,Antonym,boy,female,True,['Ġboy'],['Ġfemale'],1,1,0.99308103,0.00076569273,0.0013749491,0.001171436,0.00087732327,0.001582331,0.0011472243,0.077186726,4,5
0,Antonym,0,Antonym,hill,crater,True,['Ġhill'],['Ġcrater'],1,1,0.97289926,0.0060752872,0.0020777779,0.0064406777,0.0030947463,0.0031271004,0.006285057,0.2464743,6,3
3,IsA,3,IsA,box,hit,True,['Ġbox'],['Ġhit'],1,1,0.034425233,0.021817388,0.031380724,0.62665784,0.013042404,0.012392747,0.26028368,1.5325395,13,24
0,Antonym,0,Antonym,slip,balance,True,['Ġslip'],['Ġbalance'],1,1,0.9911378,0.00035095547,0.0007204212,0.0023031724,0.00072797097,0.0024537856,0.00230599,0.09352352,26,16
5,PartOf,5,PartOf,rapid,river,True,['Ġrapid'],['Ġriver'],1,1,0.03283809,0.0038797935,0.009491215,0.064429194,0.0078196665,0.8389047,0.042637315,0.97298026,3,1
3,IsA,3,IsA,level,tool,True,['Ġlevel'],['Ġtool'],1,1,0.034691412,0.0043805013,0.0068207015,0.71584713,0.014066987,0.15061776,0.073575534,1.3717262,19,8
6,Synonym,6,Synonym,rest,relax,True,['Ġrest'],['Ġrelax'],1,1,0.017010443,0.002430371,0.079082794,0.16233055,0.004296656,0.0080194175,0.7268297,1.2605422,18,8
2,HasProperty,2,HasProperty,copulate,fun,True,"['Ġcop', 'ulate']",['Ġfun'],2,1,0.0031046297,0.002465801,0.949251,0.037462622,0.0011293859,0.0016503447,0.0049363077,0.36020213,1,4
3,IsA,3,IsA,conflict,state,True,['Ġconflict'],['Ġstate'],1,1,0.22021984,0.0137108,0.009603637,0.35326287,0.019897405,0.2916214,0.09168399,2.1072161,9,11
2,HasProperty,2,HasProperty,dice,red,True,['Ġdice'],['Ġred'],1,1,0.013287636,0.0029719824,0.9757873,0.0045375894,0.0008547298,0.00076606846,0.0017946651,0.21061668,3,7
0,Antonym,5,PartOf,law,theory,False,['Ġlaw'],['Ġtheory'],1,1,0.87773997,0.006853646,0.0037106187,0.044550132,0.020820007,0.0069814078,0.03934409,0.794271,7,3
3,IsA,6,Synonym,author,artist,False,['Ġauthor'],['Ġartist'],1,1,0.01769164,0.004323246,0.06501474,0.7311976,0.00807641,0.013342214,0.16035408,1.2862322,3,1
0,Antonym,0,Antonym,he,female,True,['Ġhe'],['Ġfemale'],1,1,0.9924966,0.0009833834,0.0013502863,0.0012546966,0.0009063043,0.0015133967,0.0014953044,0.08294533,2,5
1,HasA,0,Antonym,paper,ink,False,['Ġpaper'],['Ġink'],1,1,0.02032546,0.7496344,0.032828845,0.039348893,0.12893783,0.006371852,0.02255271,1.3222629,9,5
0,Antonym,0,Antonym,hear,sight,True,['Ġhear'],['Ġsight'],1,1,0.9787112,0.0009754791,0.0012841447,0.007705982,0.0014521226,0.0035379175,0.0063330424,0.19531725,5,9
2,HasProperty,2,HasProperty,love,important,True,['Ġlove'],['Ġimportant'],1,1,0.0017450618,0.001105561,0.9831465,0.010622008,0.0007207616,0.0008133472,0.0018467049,0.1532428,10,5
5,PartOf,5,PartOf,song,culture,True,['Ġsong'],['Ġculture'],1,1,0.03259735,0.009598257,0.008309076,0.10361895,0.031866636,0.77808416,0.03592553,1.2341679,6,8
3,IsA,3,IsA,club,weapon,True,['Ġclub'],['Ġweapon'],1,1,0.0064044525,0.002239342,0.011798552,0.96484697,0.0025164508,0.0027562326,0.009438023,0.30042228,11,2
3,IsA,3,IsA,heterosexual,person,True,['Ġheterosexual'],['Ġperson'],1,1,0.015023252,0.0022736304,0.026569996,0.94606405,0.002504809,0.0027862894,0.0047779004,0.40782723,2,3
0,Antonym,0,Antonym,fear,comfortable,True,['Ġfear'],['Ġcomfortable'],1,1,0.9949026,0.00042769598,0.0013102634,0.0010116122,0.00048493434,0.0008977602,0.0009650884,0.058826253,8,5
2,HasProperty,6,Synonym,mate,friendly,False,['Ġmate'],['Ġfriendly'],1,1,0.0035860338,0.002152551,0.9125543,0.03128761,0.0011356066,0.0014529609,0.04783091,0.55964667,13,5
5,PartOf,5,PartOf,head,hammer,True,['Ġhead'],['Ġhammer'],1,1,0.027331015,0.0050404505,0.0022723305,0.022505961,0.0071803504,0.918373,0.017296955,0.5887523,42,10
